PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 1134,00, 20000
10, 12805,20, 20000
10, 9526,60, 20000
10, 14154,20, 20000
10, 15061,80, 20000
10, 16137,40, 20000
10, 14448,20, 20000
10, 10945,20, 20000
10, 16813,40, 20000
10, 13782,00, 20000
10, 15382,60, 20000
10, 16688,00, 20000
10, 12337,60, 20000
10, 15149,20, 20000
10, 14729,20, 20000
10, 17347,00, 20000
10, 21716,00, 10000
1, 1011,40, 10000
10, 19312,40, 10000
1, 1435,40, 10000
10, 21746,80, 10000
1, 953,20, 10000
10, 17300,00, 10000
1, 1090,00, 10000
10, 18536,20, 10000
1, 1105,60, 10000
10, 15513,00, 8000
1, 1055,60, 8000
10, 17239,60, 8000
1, 4015,00, 8000
10, 28647,60, 8000
1, 6431,60, 8000
10, 27554,60, 8000
1, 7490,60, 8000
10, 30373,00, 8000
1, 6954,40, 8000
10, 26939,20, 8000
1, 5919,80, 8000
10, 26302,00, 8000
1, 5876,40, 8000
10, 24003,60, 8000
1, 6628,80, 8000
10, 23504,00, 8000
1, 7258,60, 8000
10, 25540,20, 8000
1, 6464,00, 8000
10, 26498,80, 8000
1, 7422,80, 8000
10, 26160,60, 8000
1, 6638,40, 8000
10, 26348,20, 8000
1, 7040,40, 8000
10, 26714,00, 8000
1, 6728,80, 8000
10, 26050,60, 8000
1, 4921,00, 8000
10, 28254,40, 8000
1, 6922,80, 8000
10, 26437,60, 8000
1, 7306,00, 8000
10, 26351,00, 8000
1, 6877,80, 8000
10, 26516,60, 8000
1, 5134,20, 8000
10, 24575,20, 8000
1, 4775,60, 8000
10, 26075,40, 8000
1, 8162,20, 8000
1, 6902,40, 8000
10, 25895,00, 8000
1, 5891,20, 15000
10, 26418,20, 15000
1, 6173,20, 15000
10, 26464,80, 15000
1, 4386,80, 15000
10, 28707,60, 15000
1, 7410,60, 15000
10, 26220,80, 15000
1, 5394,40, 15000
10, 25029,80, 15000
1, 7490,00, 15000
10, 23741,00, 15000
1, 6785,40, 15000
10, 22727,80, 15000
1, 6517,00, 15000
10, 23306,80, 15000
1, 5377,80, 15000
10, 22939,40, 15000
1, 5446,00, 15000
10, 23159,60, 15000
1, 5035,80, 15000
10, 23062,40, 15000
1, 5200,20, 15000
10, 23271,40, 15000
1, 5024,40, 15000
10, 23256,40, 15000
1, 6249,40, 15000
10, 23594,40, 15000
1, 6260,00, 15000
10, 24028,20, 15000
1, 6641,40, 15000
10, 23711,00, 15000
1, 5509,40, 15000
10, 23837,60, 15000
1, 6783,80, 15000
10, 24149,80, 15000
1, 6167,60, 15000
10, 23126,40, 15000
1, 6660,00, 15000
10, 23318,00, 15000
1, 6650,40, 15000
10, 22899,40, 15000
1, 6578,80, 15000
10, 22529,40, 15000
1, 5876,80, 15000
10, 23383,00, 15000
1, 5981,60, 15000
10, 23329,20, 15000
1, 5740,20, 15000
10, 22493,00, 15000
1, 6089,80, 15000
10, 22800,60, 15000
1, 6211,00, 15000
10, 20396,80, 15000
1, 6082,40, 15000
10, 23797,20, 15000
1, 5666,40, 15000
10, 23668,00, 15000
1, 6301,00, 15000
10, 22968,60, 5000
1, 6181,00, 5000
1, 6338,20, 5000
1, 6540,60, 5000
1, 6224,60, 5000
1, 6309,20, 5000
1, 5876,20, 5000
1, 6232,40, 5000
1, 5074,60, 5000
1, 4725,00, 5000
10, 21397,40, 5000
1, 6055,00, 5000
1, 6522,60, 5000
1, 6376,20, 5000
1, 6687,80, 5000
1, 6449,80, 5000
1, 5779,80, 5000
1, 6067,40, 5000
1, 6085,80, 5000
1, 6308,00, 5000
1, 6112,00, 5000
1, 5149,80, 5000
1, 5075,20, 5000
1, 5864,20, 5000
1, 5914,80, 5000
1, 6618,80, 5000
1, 6151,80, 5000
1, 6144,20, 5000
1, 5697,60, 5000
1, 5949,60, 5000
1, 6262,80, 5000
1, 6396,40, 5000
1, 6271,80, 5000
1, 6097,60, 5000
1, 5979,20, 5000
1, 6171,00, 5000
1, 6039,40, 5000
1, 6174,80, 5000
1, 6192,60, 5000
1, 6082,40, 5000
1, 5960,60, 5000
1, 6557,60, 5000
1, 6126,20, 5000
1, 6023,20, 5000
1, 5785,80, 5000
1, 6436,60, 5000
1, 5749,60, 5000
1, 6246,20, 5000
1, 5835,00, 5000
1, 4827,80, 5000
10, 20767,60, 5000
1, 4722,20, 5000
10, 24569,20, 5000
1, 6458,40, 5000
1, 6328,00, 5000
1, 6274,80, 5000
1, 6133,20, 5000
1, 6509,20, 5000
1, 6276,00, 5000
1, 6322,40, 5000
