PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1,987.20,20000
1,1021.60,20000
2,2509.60,20000
3,1867.60,20000
6,10842.60,20000
7,8886.20,20000
10,14457.20,20000
10,19903.60,20000
10,14069.0,20000
10,12237.40,20000
10,18343.80,20000
10,11958.20,20000
10,14752.20,20000
10,17224.20,10000
5,4237.20,10000
10,13507.80,10000
5,10140.60,10000
4,7962.60,10000
8,14916.40,10000
4,3163.0,10000
8,13656.40,10000
4,2707.20,10000
8,15781.0,10000
4,3254.40,10000
8,13175.20,10000
4,7877.0,8000
8,14791.20,8000
4,5394.80,8000
8,15108.60,8000
4,6263.60,8000
8,17196.80,8000
4,6441.40,8000
8,13591.40,8000
4,7125.80,8000
8,6963.40,8000
10,15846.80,8000
5,9596.60,8000
4,6785.60,15000
8,14337.20,15000
9,16758.0,15000
4,3236.20,15000
9,16428.20,15000
4,6700.20,15000
9,17540.80,15000
4,8107.20,15000
9,19500.0,15000
4,7257.40,15000
9,16800.40,5000
4,6548.20,5000
3,4944.40,5000
7,6958.80,5000
3,4740.20,5000
7,6694.0,5000
3,5858.0,5000
2,1087.60,5000
5,9599.80,5000
2,2414.40,5000
