PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6013.20, 17000
10, 21419.80, 17000
1, 5963.00, 17000
10, 18927.80, 17000
1, 5728.80, 17000
10, 20051.40, 17000
1, 5863.60, 17000
10, 19939.20, 17000
1, 5227.60, 17000
10, 18233.80, 17000
1, 6119.20, 17000
10, 18251.40, 17000
1, 5436.20, 17000
10, 18068.00, 17000
1, 6041.80, 17000
10, 17934.80, 17000
1, 5712.80, 17000
10, 18485.40, 17000
1, 5708.60, 17000
10, 17707.20, 17000
1, 5619.40, 17000
10, 18623.00, 17000
1, 5982.80, 17000
10, 18950.60, 17000
1, 4984.60, 17000
10, 20144.20, 17000
1, 5363.40, 17000
10, 19763.00, 17000
1, 4956.00, 17000
10, 20037.60, 17000
1, 5349.80, 17000
10, 19174.80, 17000
1, 5695.40, 17000
10, 20162.80, 17000
1, 5796.60, 17000
10, 18996.40, 17000
1, 5752.80, 17000
10, 18534.60, 17000
1, 5282.00, 17000
10, 18727.40, 17000
1, 5714.20, 17000
10, 18837.00, 17000
1, 5013.20, 17000
10, 17952.60, 17000
1, 6323.80, 17000
10, 19520.80, 17000
1, 5464.60, 17000
10, 19032.20, 17000
1, 5747.60, 17000
10, 19102.80, 17000
1, 4911.80, 17000
10, 19352.60, 17000
1, 5872.00, 17000
10, 18211.00, 17000
1, 5503.60, 17000
10, 19022.40, 17000
1, 6285.00, 17000
10, 18001.60, 17000
1, 5161.00, 17000
10, 18169.00, 17000
1, 5926.20, 10000
10, 18676.20, 10000
1, 5270.80, 10000
10, 18643.60, 10000
1, 6049.20, 10000
10, 19040.40, 10000
1, 5856.00, 10000
10, 18739.20, 10000
1, 5867.00, 10000
10, 18224.20, 10000
1, 5737.40, 10000
10, 18919.00, 10000
1, 6023.80, 10000
10, 19026.40, 10000
1, 6144.00, 10000
10, 19014.60, 10000
1, 6451.00, 10000
10, 18275.00, 10000
1, 5610.60, 10000
10, 18287.00, 10000
1, 5765.60, 10000
10, 17538.00, 10000
1, 6475.80, 10000
10, 17321.80, 10000
1, 6365.20, 10000
10, 17965.40, 10000
1, 6002.60, 10000
10, 16415.60, 10000
1, 6298.40, 10000
10, 17884.40, 10000
1, 6202.40, 10000
10, 16811.40, 10000
1, 5903.60, 10000
10, 16687.00, 10000
1, 5793.80, 10000
10, 18424.20, 10000
1, 5953.40, 10000
10, 17001.20, 10000
1, 6224.60, 10000
10, 16774.20, 10000
1, 5535.00, 10000
10, 17557.60, 10000
1, 5953.40, 10000
10, 16426.20, 10000
1, 5498.00, 10000
10, 18395.00, 10000
1, 5855.00, 10000
10, 16659.20, 10000
1, 5467.60, 10000
10, 16536.20, 10000
1, 5674.80, 10000
10, 20175.80, 10000
1, 5861.80, 10000
10, 16327.60, 10000
1, 5766.60, 10000
10, 16229.40, 10000
1, 5857.20, 10000
10, 17204.20, 10000
1, 6076.40, 10000
10, 16340.20, 10000
1, 5825.00, 20000
10, 19298.40, 20000
10, 18552.60, 20000
10, 16980.20, 20000
10, 16452.00, 20000
10, 16094.40, 20000
10, 16676.00, 20000
10, 16891.60, 20000
10, 16826.00, 20000
10, 19722.40, 20000
