PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6323.80, 17000
1, 7298.00, 17000
2, 12107.20, 17000
2, 12140.40, 17000
3, 14561.40, 17000
3, 14631.60, 17000
3, 14829.80, 17000
4, 17448.80, 17000
3, 14655.20, 17000
4, 15263.20, 17000
4, 16281.20, 17000
4, 16538.60, 17000
4, 17334.80, 17000
4, 15955.60, 17000
4, 16389.40, 17000
4, 17682.40, 17000
4, 17606.20, 17000
4, 16271.60, 17000
4, 15310.00, 17000
4, 17596.60, 17000
4, 17354.80, 17000
4, 17296.80, 17000
4, 17518.20, 17000
4, 17370.60, 17000
4, 17597.60, 17000
4, 16395.20, 17000
4, 17126.40, 17000
4, 16804.80, 17000
4, 17300.60, 17000
4, 16457.60, 17000
4, 16709.80, 17000
4, 16708.00, 17000
4, 16387.00, 17000
4, 17655.20, 17000
4, 16811.20, 17000
4, 16125.80, 17000
4, 15353.00, 17000
4, 17337.20, 17000
4, 16382.40, 17000
4, 14664.80, 17000
5, 20229.00, 17000
4, 16022.60, 17000
5, 19812.40, 17000
4, 14875.40, 17000
4, 15336.40, 17000
5, 20085.00, 17000
4, 16950.60, 17000
4, 17335.00, 17000
4, 17033.00, 17000
4, 15635.00, 17000
4, 16337.60, 17000
4, 15674.00, 17000
5, 20234.20, 17000
4, 15745.20, 17000
4, 15616.00, 17000
5, 20383.40, 17000
4, 15301.80, 17000
4, 16649.00, 17000
4, 16465.40, 17000
4, 15890.40, 17000
5, 19318.20, 10000
3, 14758.20, 10000
3, 14624.20, 10000
2, 10690.60, 10000
2, 10502.20, 10000
2, 10837.20, 10000
2, 11303.60, 10000
2, 11028.80, 10000
2, 10108.80, 10000
2, 11234.60, 10000
2, 11098.20, 10000
2, 11095.00, 10000
2, 11384.60, 10000
1, 6741.20, 10000
2, 11113.00, 10000
2, 10881.20, 10000
2, 11222.00, 10000
1, 6267.80, 10000
2, 10898.00, 10000
2, 10960.20, 10000
2, 11158.20, 10000
2, 11075.40, 10000
1, 6355.80, 10000
2, 11253.40, 10000
2, 11159.80, 10000
2, 10888.80, 10000
1, 6140.80, 10000
2, 11050.80, 10000
2, 11408.20, 10000
2, 10872.40, 10000
2, 11173.40, 10000
1, 6913.60, 10000
2, 11058.40, 10000
2, 10961.60, 10000
2, 10179.80, 10000
2, 11142.80, 10000
1, 6760.80, 10000
2, 11081.80, 10000
2, 11128.20, 10000
1, 6940.00, 10000
2, 11491.00, 10000
2, 11675.60, 10000
1, 6503.20, 10000
2, 11271.80, 10000
2, 11127.60, 10000
2, 10897.40, 10000
1, 6707.60, 10000
2, 10430.40, 10000
2, 11394.20, 10000
2, 10691.80, 10000
2, 10763.60, 10000
1, 6645.00, 10000
2, 10835.60, 10000
2, 11310.00, 10000
2, 11337.80, 10000
1, 6748.00, 10000
2, 10808.60, 10000
2, 11208.00, 10000
2, 9959.40, 10000
2, 10448.40, 10000
2, 10454.00, 20000
3, 14024.60, 20000
4, 15869.60, 20000
4, 15362.00, 20000
4, 15797.40, 20000
5, 19975.60, 20000
5, 19875.00, 20000
5, 20077.00, 20000
5, 19929.40, 20000
5, 19380.80, 20000
5, 19463.20, 20000
5, 19565.40, 20000
5, 19899.60, 20000
5, 19416.60, 20000
5, 19187.40, 20000
5, 19811.40, 20000
5, 19810.80, 20000
5, 19026.40, 20000
5, 18993.60, 20000
5, 18281.00, 20000
6, 21526.00, 20000
5, 19934.60, 20000
5, 18505.20, 20000
6, 20256.80, 20000
5, 20047.80, 20000
5, 19288.80, 20000
6, 20521.00, 20000
5, 19398.80, 20000
6, 21830.60, 20000
5, 20239.00, 20000
5, 19708.60, 20000
5, 19331.00, 20000
5, 20055.60, 20000
5, 19086.00, 20000
6, 21891.80, 20000
5, 19883.20, 20000
5, 20464.00, 20000
5, 18110.20, 20000
6, 19642.40, 20000
5, 20127.00, 20000
5, 18116.80, 20000
6, 18695.80, 20000
6, 17473.00, 20000
6, 19440.60, 20000
6, 17119.20, 20000
