PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5200.60, 17000
1, 7189.20, 17000
2, 10623.60, 17000
2, 10697.80, 17000
3, 14778.00, 17000
2, 10911.60, 17000
3, 14095.60, 17000
3, 13636.40, 17000
3, 12435.40, 17000
4, 16511.00, 17000
3, 13151.40, 17000
4, 16868.40, 17000
4, 16225.20, 17000
4, 16902.80, 17000
4, 16555.00, 17000
4, 16766.40, 17000
4, 16834.20, 17000
4, 15724.80, 17000
4, 17015.20, 17000
4, 16648.80, 17000
4, 16376.60, 17000
4, 16759.20, 17000
4, 16548.00, 17000
4, 15716.00, 17000
4, 16945.80, 17000
4, 16392.80, 17000
4, 17096.20, 17000
4, 16753.00, 17000
4, 16383.80, 17000
4, 17053.00, 17000
4, 16304.40, 17000
4, 16847.20, 17000
4, 16977.40, 17000
4, 16656.40, 17000
4, 16225.00, 17000
5, 18173.20, 17000
4, 16899.80, 17000
4, 15995.80, 17000
5, 18441.80, 17000
4, 16401.00, 17000
4, 16035.20, 17000
5, 18371.40, 17000
4, 16365.40, 17000
4, 15735.20, 17000
5, 17032.40, 17000
5, 18436.00, 17000
4, 15203.40, 17000
5, 17968.80, 17000
4, 16383.60, 17000
5, 17308.60, 17000
4, 17100.20, 17000
4, 17109.40, 17000
4, 16475.00, 17000
5, 18841.60, 17000
4, 15974.20, 17000
5, 17796.80, 17000
4, 16751.60, 17000
4, 15931.20, 17000
5, 19585.60, 17000
4, 16768.80, 17000
4, 16489.60, 10000
3, 12704.60, 10000
3, 12463.80, 10000
3, 12480.20, 10000
3, 12853.20, 10000
3, 12825.60, 10000
3, 12875.20, 10000
2, 9906.80, 10000
3, 12657.80, 10000
2, 10078.60, 10000
2, 10270.20, 10000
2, 10211.60, 10000
2, 10189.20, 10000
2, 10154.80, 10000
2, 10522.00, 10000
2, 9938.20, 10000
2, 10396.80, 10000
2, 10093.00, 10000
2, 10215.80, 10000
2, 10402.20, 10000
2, 10160.80, 10000
2, 10348.20, 10000
2, 10010.00, 10000
2, 10546.40, 10000
2, 10566.20, 10000
2, 10367.00, 10000
2, 10926.00, 10000
2, 10643.60, 10000
2, 10422.80, 10000
2, 10481.00, 10000
2, 10505.60, 10000
2, 10582.80, 10000
2, 10122.20, 10000
2, 10574.80, 10000
2, 10925.40, 10000
2, 10419.40, 10000
2, 10365.60, 10000
2, 10694.40, 10000
2, 10740.00, 10000
2, 10325.40, 10000
2, 10476.20, 10000
1, 7527.00, 10000
2, 10314.00, 10000
2, 10179.40, 10000
2, 10670.60, 10000
2, 10175.40, 10000
2, 10033.00, 10000
2, 10215.80, 10000
2, 10442.20, 10000
2, 10448.60, 10000
1, 7028.80, 10000
2, 10230.80, 10000
2, 10529.40, 10000
2, 9857.20, 10000
2, 10445.00, 10000
2, 10624.60, 10000
2, 10285.80, 10000
2, 10780.40, 10000
1, 6957.40, 10000
2, 10157.20, 10000
2, 10362.60, 20000
3, 13226.40, 20000
3, 13632.40, 20000
4, 17707.60, 20000
4, 17693.20, 20000
4, 17580.40, 20000
4, 17780.80, 20000
4, 17341.80, 20000
5, 18708.40, 20000
4, 17161.40, 20000
