PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6024.60, 17000
10, 19857.20, 17000
4, 14718.00, 17000
9, 17155.40, 17000
8, 18552.80, 17000
7, 21418.60, 17000
3, 14687.40, 17000
6, 18419.80, 17000
3, 12975.00, 17000
8, 18394.80, 17000
5, 18980.80, 17000
4, 16908.60, 17000
5, 18807.00, 17000
3, 12782.20, 17000
7, 21891.60, 17000
1, 5841.60, 17000
10, 19369.80, 17000
7, 21769.20, 17000
6, 21030.80, 17000
3, 13761.40, 17000
6, 20954.60, 17000
1, 6511.80, 17000
10, 19370.80, 17000
6, 20812.20, 17000
5, 19658.40, 17000
4, 17545.80, 17000
3, 12942.20, 17000
7, 20494.00, 17000
2, 9887.40, 17000
10, 20617.40, 17000
4, 16509.80, 17000
7, 19584.40, 17000
4, 16896.80, 17000
5, 17978.20, 17000
4, 17323.40, 17000
4, 16997.20, 17000
3, 12910.40, 17000
7, 21495.40, 17000
2, 9371.80, 17000
10, 21346.60, 17000
4, 16307.40, 17000
7, 21785.60, 17000
2, 11517.80, 17000
9, 21005.40, 17000
2, 10487.40, 17000
10, 21562.80, 17000
3, 14843.80, 17000
8, 21753.00, 17000
2, 11467.20, 17000
9, 21058.80, 17000
3, 13331.60, 17000
9, 22558.20, 17000
1, 6103.40, 17000
10, 23588.00, 17000
3, 13490.40, 17000
10, 21215.20, 17000
5, 18172.20, 17000
5, 16731.20, 17000
5, 17008.80, 17000
5, 17125.80, 17000
5, 17144.60, 10000
1, 5869.40, 10000
4, 15727.00, 10000
1, 6382.60, 10000
2, 10321.80, 10000
1, 6309.20, 10000
4, 15526.40, 10000
1, 6724.00, 10000
3, 14368.60, 10000
1, 6418.20, 10000
2, 10381.20, 10000
1, 6540.60, 10000
4, 15628.40, 10000
1, 6229.40, 10000
3, 14472.00, 10000
1, 6184.20, 10000
3, 15125.40, 10000
1, 7151.00, 10000
1, 5987.20, 10000
3, 13163.00, 10000
1, 6086.80, 10000
4, 15578.00, 10000
1, 5925.00, 10000
4, 15746.60, 10000
1, 6873.80, 10000
1, 6739.00, 10000
2, 10082.20, 10000
2, 10396.60, 10000
2, 10626.40, 10000
2, 10289.40, 10000
2, 10516.80, 10000
1, 5994.60, 10000
5, 17071.20, 10000
1, 6403.40, 10000
3, 13622.60, 10000
1, 6936.40, 10000
2, 11445.60, 10000
1, 6072.40, 10000
4, 16403.00, 10000
1, 6883.80, 10000
2, 10290.20, 10000
1, 6590.20, 10000
3, 13808.00, 10000
1, 6262.20, 10000
4, 16009.40, 10000
1, 6481.80, 10000
2, 11575.60, 10000
1, 6542.60, 10000
3, 13725.00, 10000
1, 6656.20, 10000
3, 14935.60, 10000
1, 7097.60, 10000
