PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6677.80, 17000
5, 19971.40, 17000
1, 6956.80, 17000
6, 23306.60, 17000
1, 7686.20, 17000
6, 22624.20, 17000
1, 6155.00, 17000
7, 20395.20, 17000
1, 6591.80, 17000
8, 20375.00, 17000
1, 7099.80, 17000
8, 22019.20, 17000
1, 7172.00, 17000
9, 23769.60, 17000
1, 6508.80, 17000
10, 23680.80, 17000
1, 6961.40, 17000
10, 23264.40, 17000
1, 6634.80, 17000
10, 23293.80, 17000
2, 10885.60, 17000
9, 22344.80, 17000
3, 14267.40, 17000
8, 19486.40, 17000
4, 17084.40, 17000
6, 20020.60, 17000
4, 15659.20, 17000
6, 21738.80, 17000
3, 14441.40, 17000
7, 18482.00, 17000
4, 15979.20, 17000
6, 21091.80, 17000
3, 14139.20, 17000
7, 21591.00, 17000
2, 10885.20, 17000
8, 20909.80, 17000
2, 10298.00, 17000
9, 22139.20, 17000
2, 10893.20, 17000
9, 20524.00, 17000
3, 14621.20, 17000
7, 19125.20, 17000
4, 15683.60, 17000
6, 21936.80, 17000
3, 14089.20, 17000
7, 20661.00, 17000
3, 14615.60, 17000
6, 21356.20, 17000
3, 14635.20, 17000
6, 21742.80, 17000
2, 11198.20, 17000
8, 23347.80, 17000
1, 6290.40, 17000
10, 23279.40, 17000
1, 6533.80, 17000
10, 24323.40, 17000
1, 6334.40, 17000
10, 24382.00, 17000
1, 6192.00, 17000
10, 26155.40, 17000
1, 6235.20, 10000
9, 23473.80, 10000
1, 6560.60, 10000
8, 23834.20, 10000
1, 6663.40, 10000
7, 21669.60, 10000
1, 6195.00, 10000
5, 20205.60, 10000
1, 6731.00, 10000
4, 16454.60, 10000
1, 6452.20, 10000
3, 14883.80, 10000
1, 6505.40, 10000
3, 14155.40, 10000
1, 7016.20, 10000
3, 13803.20, 10000
1, 6555.00, 10000
3, 13426.40, 10000
1, 6709.20, 10000
3, 14041.40, 10000
1, 6031.60, 10000
3, 13952.20, 10000
1, 7011.20, 10000
2, 10490.20, 10000
1, 6911.40, 10000
2, 10723.00, 10000
1, 6908.80, 10000
3, 13813.80, 10000
1, 6243.00, 10000
3, 14411.60, 10000
1, 6061.60, 10000
3, 14858.20, 10000
1, 6579.20, 10000
3, 14185.40, 10000
1, 6724.80, 10000
3, 14683.20, 10000
1, 6484.40, 10000
3, 14574.60, 10000
1, 6585.20, 10000
3, 14447.40, 10000
1, 6694.80, 10000
2, 11204.20, 10000
1, 6559.40, 10000
2, 9562.00, 10000
1, 6180.20, 10000
3, 14685.80, 10000
1, 6523.80, 10000
3, 14565.80, 10000
1, 6359.00, 10000
3, 14285.00, 10000
1, 7015.20, 10000
3, 14881.60, 10000
1, 6873.40, 10000
3, 14281.60, 10000
1, 6490.80, 10000
3, 14617.60, 10000
1, 6810.60, 10000
2, 10813.40, 10000
1, 6735.80, 10000
2, 10775.00, 10000
1, 6605.20, 20000
8, 23160.60, 20000
1, 6579.60, 20000
9, 23060.00, 20000
1, 6475.60, 20000
10, 24463.80, 20000
1, 6786.60, 20000
10, 23975.60, 20000
2, 10595.00, 20000
10, 25692.80, 20000
3, 14265.60, 20000
10, 24669.40, 20000
4, 15363.40, 20000
9, 22367.40, 20000
5, 19362.00, 20000
7, 20022.20, 20000
6, 21590.00, 20000
6, 21186.60, 20000
6, 21478.20, 20000
6, 21446.00, 20000
6, 21852.80, 20000
5, 19715.60, 20000
6, 20778.00, 20000
5, 19752.60, 20000
6, 21522.20, 20000
5, 19098.80, 20000
6, 21233.20, 20000
5, 18824.00, 20000
6, 22210.40, 20000
4, 17371.20, 20000
7, 20349.60, 20000
5, 19469.40, 20000
6, 22108.40, 20000
4, 15184.40, 20000
8, 23137.80, 20000
4, 15772.40, 20000
8, 23875.80, 20000
4, 15865.80, 20000
8, 21125.40, 20000
5, 20056.20, 20000
6, 19643.80, 20000
6, 18246.00, 20000
7, 20606.40, 20000
6, 17288.60, 20000
8, 23471.60, 20000
4, 16558.40, 20000
8, 23982.00, 20000
4, 15500.20, 20000
9, 22571.20, 20000
5, 17069.80, 20000
8, 23633.00, 20000
4, 15824.80, 20000
9, 21323.40, 20000
5, 15880.00, 20000
9, 22836.60, 20000
5, 16445.00, 20000
9, 23596.40, 20000
5, 16735.20, 20000
9, 22348.60, 20000
5, 17122.60, 20000
8, 22167.60, 5000
1, 7115.00, 5000
6, 18219.80, 5000
1, 6894.00, 5000
4, 15846.80, 5000
1, 6952.00, 5000
2, 9924.80, 5000
1, 7098.60, 5000
1, 7303.40, 5000
1, 6813.40, 5000
1, 7051.20, 5000
1, 6662.40, 5000
1, 6870.80, 5000
1, 6848.60, 5000
1, 6509.40, 5000
