PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5195.60, 17000
10, 21705.20, 17000
1, 7188.60, 17000
10, 22345.80, 17000
1, 6574.20, 17000
10, 26666.20, 17000
1, 6612.80, 17000
10, 26778.40, 17000
1, 6315.60, 17000
10, 24086.00, 17000
1, 7293.60, 17000
10, 23800.20, 17000
1, 6212.60, 17000
10, 24672.40, 17000
1, 7348.80, 17000
10, 23769.00, 17000
1, 6669.00, 17000
10, 24615.20, 17000
1, 6767.00, 17000
10, 25315.40, 17000
1, 6551.80, 17000
10, 25351.20, 17000
1, 7117.20, 17000
10, 23927.60, 17000
1, 6007.60, 17000
10, 25717.40, 17000
1, 6607.40, 17000
10, 24607.00, 17000
1, 5844.00, 17000
10, 24734.80, 17000
1, 7126.40, 17000
10, 24561.80, 17000
1, 6314.60, 17000
10, 26097.40, 17000
1, 6762.40, 17000
10, 25274.40, 17000
1, 6935.80, 17000
10, 25949.20, 17000
1, 6837.00, 17000
10, 24904.40, 17000
1, 6399.40, 17000
10, 25346.60, 17000
1, 6732.60, 17000
10, 24500.80, 17000
1, 6641.00, 17000
10, 25276.00, 17000
1, 6974.00, 17000
10, 25793.40, 17000
1, 6947.00, 17000
10, 26439.60, 17000
1, 6487.40, 17000
10, 25174.60, 17000
1, 6953.80, 17000
10, 25768.00, 17000
1, 6674.20, 17000
10, 25286.60, 17000
1, 7121.60, 17000
10, 25176.40, 17000
1, 6431.60, 17000
10, 25625.20, 17000
1, 6818.00, 10000
10, 24214.40, 10000
1, 6815.40, 10000
10, 24787.80, 10000
1, 7210.40, 10000
10, 25850.20, 10000
1, 6110.80, 10000
10, 25409.00, 10000
1, 7185.00, 10000
10, 24628.40, 10000
1, 6846.80, 10000
10, 23679.20, 10000
1, 6650.60, 10000
10, 25209.80, 10000
1, 7436.00, 10000
10, 23803.00, 10000
1, 6902.20, 10000
10, 24051.60, 10000
1, 7176.00, 10000
10, 26287.40, 10000
1, 7066.40, 10000
10, 24522.60, 10000
1, 7245.00, 10000
10, 23775.20, 10000
1, 6518.80, 10000
10, 24816.40, 10000
1, 6933.60, 10000
10, 23601.20, 10000
1, 6769.60, 10000
10, 25673.40, 10000
1, 6351.80, 10000
10, 25369.60, 10000
1, 6372.60, 10000
10, 25236.40, 10000
1, 6862.00, 10000
10, 24394.60, 10000
1, 6839.80, 10000
10, 23624.00, 10000
1, 6760.20, 10000
10, 24909.00, 10000
1, 6265.40, 10000
10, 23688.80, 10000
1, 6810.00, 10000
10, 24087.60, 10000
1, 6776.80, 10000
10, 24987.20, 10000
1, 7259.00, 10000
10, 23632.00, 10000
1, 7382.60, 10000
10, 24402.00, 10000
1, 7209.60, 10000
10, 23789.60, 10000
1, 7271.20, 10000
10, 23239.60, 10000
1, 7121.80, 10000
10, 25413.80, 10000
1, 6552.20, 10000
10, 23124.60, 10000
1, 6761.00, 10000
10, 24429.20, 10000
1, 6854.80, 20000
10, 24307.80, 20000
1, 6933.60, 20000
10, 24493.00, 20000
1, 7184.80, 20000
10, 22296.60, 20000
1, 7021.40, 20000
10, 24814.60, 20000
1, 7335.60, 20000
10, 24306.00, 20000
1, 7129.80, 20000
10, 24436.40, 20000
1, 6864.40, 20000
10, 24713.60, 20000
1, 6766.40, 20000
10, 21157.00, 20000
1, 6793.80, 20000
10, 24186.20, 20000
1, 7297.20, 20000
10, 24277.60, 20000
1, 6789.80, 20000
10, 25469.40, 20000
1, 6607.20, 20000
10, 22366.40, 20000
1, 7039.60, 20000
10, 24270.00, 20000
1, 6620.80, 20000
10, 22898.60, 20000
1, 6609.40, 20000
10, 22413.80, 20000
1, 6726.20, 20000
10, 24397.20, 20000
1, 7048.40, 20000
10, 23947.40, 20000
1, 7244.00, 20000
10, 23401.00, 20000
1, 7075.00, 20000
10, 24737.60, 20000
1, 7328.00, 20000
10, 23247.20, 20000
1, 6703.00, 20000
10, 23400.80, 20000
1, 6883.00, 20000
10, 23101.20, 20000
1, 7148.80, 20000
