PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6874.80, 17000
1, 6821.00, 17000
2, 11956.20, 17000
2, 11513.40, 17000
3, 16638.60, 17000
3, 14843.20, 17000
3, 14809.40, 17000
3, 14782.40, 17000
4, 17299.80, 17000
4, 16861.20, 17000
4, 17476.80, 17000
4, 17553.00, 17000
4, 16465.60, 17000
4, 17116.40, 17000
4, 17699.80, 17000
4, 16407.20, 17000
4, 15504.00, 17000
4, 16713.80, 17000
4, 17159.60, 17000
4, 15554.60, 17000
4, 16145.00, 17000
4, 17228.60, 17000
4, 17586.60, 17000
4, 16383.40, 17000
4, 16924.00, 17000
4, 16081.80, 17000
4, 17481.00, 17000
4, 16330.60, 17000
4, 17430.20, 17000
4, 17507.80, 17000
4, 16414.20, 17000
4, 17066.40, 17000
4, 16956.60, 17000
4, 17471.40, 17000
4, 16608.20, 17000
4, 17298.60, 17000
4, 16581.20, 17000
4, 17062.60, 17000
4, 17238.60, 17000
4, 16848.60, 17000
4, 17172.60, 17000
4, 17698.40, 17000
4, 17108.80, 17000
4, 17131.40, 17000
4, 17054.80, 17000
4, 16574.80, 17000
4, 17310.40, 17000
4, 16587.40, 17000
4, 17313.40, 17000
4, 16975.20, 17000
4, 17340.00, 17000
4, 17254.80, 17000
4, 17263.00, 17000
4, 17218.20, 17000
4, 16669.80, 17000
4, 17145.20, 17000
4, 17257.80, 17000
4, 16522.80, 17000
4, 17328.60, 17000
4, 17054.80, 17000
4, 16988.00, 10000
3, 14844.00, 10000
2, 11322.20, 10000
2, 10862.80, 10000
2, 10972.80, 10000
2, 11027.60, 10000
2, 11090.80, 10000
2, 11406.40, 10000
2, 11095.80, 10000
2, 11104.20, 10000
2, 11269.00, 10000
2, 10994.80, 10000
2, 11213.20, 10000
1, 6716.40, 10000
2, 11341.20, 10000
2, 10189.00, 10000
2, 11257.60, 10000
2, 11396.00, 10000
1, 7037.40, 10000
2, 10814.00, 10000
2, 11115.60, 10000
2, 10897.00, 10000
2, 11225.00, 10000
1, 6345.40, 10000
2, 10559.20, 10000
2, 11390.80, 10000
2, 11136.80, 10000
2, 11345.20, 10000
1, 6896.20, 10000
2, 11119.80, 10000
2, 11151.40, 10000
2, 11434.60, 10000
1, 6419.40, 10000
2, 10451.00, 10000
2, 11414.20, 10000
2, 11174.00, 10000
1, 6174.40, 10000
2, 11542.80, 10000
2, 11099.60, 10000
2, 10538.00, 10000
2, 11140.20, 10000
1, 6561.20, 10000
2, 10929.80, 10000
2, 10925.80, 10000
2, 10701.80, 10000
2, 11543.40, 10000
2, 11385.20, 10000
