PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6533.40, 17000
1, 6109.00, 17000
2, 10785.40, 17000
2, 11959.20, 17000
2, 11090.00, 17000
3, 15898.20, 17000
2, 11012.40, 17000
3, 14957.80, 17000
3, 14230.60, 17000
3, 13685.60, 17000
4, 15823.60, 17000
4, 15719.00, 17000
4, 15630.00, 17000
4, 16592.00, 17000
4, 16199.60, 17000
4, 15773.20, 17000
4, 16153.60, 17000
4, 15564.80, 17000
4, 15395.40, 17000
4, 15732.80, 17000
4, 15668.00, 17000
4, 17098.80, 17000
4, 16419.40, 17000
4, 15939.60, 17000
4, 17120.80, 17000
4, 17387.40, 17000
4, 15737.60, 17000
5, 16648.60, 17000
5, 17122.00, 17000
5, 18091.80, 17000
4, 16266.20, 17000
4, 15351.80, 17000
5, 16633.00, 17000
5, 16858.00, 17000
5, 17519.00, 17000
5, 16657.00, 17000
5, 16996.40, 17000
5, 16309.60, 17000
5, 16639.40, 17000
5, 16848.00, 17000
5, 16094.00, 17000
5, 15764.00, 17000
5, 16984.00, 17000
5, 16473.80, 17000
5, 17595.40, 17000
5, 17808.80, 17000
5, 16733.80, 17000
5, 16431.80, 17000
5, 16126.20, 17000
5, 16836.20, 17000
5, 16067.80, 17000
5, 17556.00, 17000
5, 17912.40, 17000
5, 15957.00, 17000
5, 16601.00, 17000
5, 16499.00, 17000
5, 16337.00, 17000
5, 17494.40, 17000
5, 17200.20, 17000
5, 16310.80, 17000
5, 17725.00, 10000
3, 15095.00, 10000
3, 14861.40, 10000
3, 15161.00, 10000
3, 14846.20, 10000
2, 10258.00, 10000
2, 10298.80, 10000
2, 9641.00, 10000
2, 9824.20, 10000
2, 9661.00, 10000
2, 10210.40, 10000
2, 10156.60, 10000
2, 10350.40, 10000
2, 9904.40, 10000
2, 9725.40, 10000
2, 9913.00, 10000
2, 9943.80, 10000
2, 10012.40, 10000
2, 9701.00, 10000
2, 9858.60, 10000
2, 9965.20, 10000
2, 10083.40, 10000
2, 9848.00, 10000
2, 9994.20, 10000
2, 10207.40, 10000
2, 10277.00, 10000
2, 9865.40, 10000
2, 10026.20, 10000
2, 10238.20, 10000
2, 10460.00, 10000
2, 9718.60, 10000
2, 9967.60, 10000
2, 9621.80, 10000
2, 10647.60, 10000
2, 9503.20, 10000
2, 10506.20, 10000
2, 10145.00, 10000
2, 9879.80, 10000
2, 9956.20, 10000
2, 10560.40, 10000
2, 10493.40, 10000
2, 10821.60, 10000
2, 9533.00, 10000
2, 10287.60, 10000
2, 10653.00, 10000
2, 10102.20, 10000
2, 9800.00, 10000
2, 9765.40, 10000
2, 10507.00, 10000
2, 10324.60, 10000
2, 9581.00, 10000
2, 9681.40, 10000
2, 9714.60, 10000
2, 10021.60, 10000
