PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6785.80, 17000
9, 21627.20, 17000
2, 11267.00, 17000
10, 19329.40, 17000
6, 15296.40, 17000
9, 18567.80, 17000
7, 17072.60, 17000
7, 17883.80, 17000
7, 17127.20, 17000
7, 18534.40, 17000
6, 17992.00, 17000
6, 16468.20, 17000
6, 20433.00, 17000
3, 13293.60, 17000
7, 18428.80, 17000
4, 17398.80, 17000
4, 15941.60, 17000
6, 18029.20, 17000
5, 15966.60, 17000
6, 19714.00, 17000
3, 12222.20, 17000
9, 18690.60, 17000
5, 16490.00, 17000
5, 16977.40, 17000
5, 18740.00, 17000
5, 18143.00, 17000
4, 17065.00, 17000
4, 16326.40, 17000
4, 14750.20, 17000
6, 19023.40, 17000
3, 14573.20, 17000
7, 19138.20, 17000
3, 12974.00, 17000
8, 19485.80, 17000
4, 15663.40, 17000
7, 19301.60, 17000
4, 15883.40, 17000
6, 19676.20, 17000
3, 14306.60, 17000
6, 20925.00, 17000
1, 6506.40, 17000
10, 21032.00, 17000
5, 18588.60, 17000
7, 19515.00, 17000
4, 17079.60, 17000
4, 17012.60, 17000
4, 17018.80, 17000
4, 17327.00, 17000
4, 15672.60, 17000
6, 21199.20, 17000
1, 6655.20, 17000
10, 20795.40, 17000
5, 19314.60, 17000
6, 21071.60, 17000
2, 9935.60, 17000
10, 21186.00, 17000
3, 13548.20, 17000
9, 18567.60, 17000
5, 18608.40, 17000
5, 19325.40, 17000
3, 13476.60, 10000
1, 6244.60, 10000
4, 16756.20, 10000
1, 6205.00, 10000
2, 10191.80, 10000
2, 9886.40, 10000
2, 10837.80, 10000
2, 10280.20, 10000
2, 10888.40, 10000
2, 10522.20, 10000
2, 10161.00, 10000
2, 11138.20, 10000
1, 5936.20, 10000
4, 16569.20, 10000
1, 6234.80, 10000
2, 11203.20, 10000
1, 6352.60, 10000
3, 13096.20, 10000
1, 6204.60, 10000
4, 16012.60, 10000
1, 6763.60, 10000
2, 11295.60, 10000
1, 5824.60, 10000
4, 15895.60, 10000
1, 5976.00, 10000
3, 13537.60, 10000
1, 6191.40, 10000
3, 14627.00, 10000
1, 6786.80, 10000
2, 9553.60, 10000
2, 11392.20, 10000
1, 5994.00, 10000
4, 17449.80, 10000
1, 6238.00, 10000
2, 11019.60, 10000
1, 5921.60, 10000
3, 14040.80, 10000
1, 5754.40, 10000
4, 16291.60, 10000
1, 6497.20, 10000
2, 9929.40, 10000
2, 11281.80, 10000
1, 6248.40, 10000
3, 14600.40, 10000
1, 7068.20, 10000
2, 10281.60, 10000
2, 9737.20, 10000
2, 10129.00, 10000
2, 9726.40, 10000
2, 9610.40, 10000
2, 10092.40, 10000
2, 11125.60, 10000
1, 6009.00, 10000
4, 15934.40, 10000
1, 5651.60, 10000
4, 15791.40, 10000
1, 6616.20, 10000
1, 6560.40, 10000
3, 13585.80, 10000
1, 5870.60, 10000
5, 17826.60, 20000
5, 17126.80, 20000
8, 21375.40, 20000
6, 19300.60, 20000
6, 18772.20, 20000
8, 21216.80, 20000
6, 18754.20, 20000
8, 20662.60, 20000
8, 21410.60, 20000
6, 18734.40, 20000
8, 21424.40, 20000
6, 18410.60, 20000
8, 20412.00, 20000
8, 20093.40, 20000
8, 21419.80, 20000
6, 18945.00, 20000
8, 21174.40, 20000
6, 18262.80, 20000
8, 20640.00, 20000
8, 20604.80, 20000
8, 21098.60, 20000
6, 18996.40, 20000
8, 20551.00, 20000
8, 20212.00, 20000
8, 21264.00, 20000
6, 18723.60, 20000
8, 20707.00, 20000
8, 20444.20, 20000
8, 20332.60, 20000
8, 21100.20, 20000
6, 19186.20, 20000
6, 18775.80, 20000
8, 21102.20, 20000
6, 19438.00, 20000
6, 18690.60, 20000
8, 20221.40, 20000
8, 21265.20, 20000
6, 18289.00, 20000
9, 20993.80, 20000
9, 22258.60, 20000
6, 18051.00, 20000
9, 22822.20, 20000
5, 17699.60, 20000
8, 20855.80, 20000
8, 20367.00, 20000
8, 19843.40, 20000
8, 19906.40, 20000
8, 18899.20, 20000
8, 17658.40, 20000
10, 19517.00, 20000
10, 19906.40, 20000
10, 19333.80, 20000
10, 21478.80, 20000
9, 19333.40, 20000
9, 18223.00, 20000
10, 19328.20, 20000
10, 20949.40, 20000
10, 22104.20, 20000
8, 17611.80, 20000
10, 19687.40, 20000
10, 21529.40, 5000
1, 6358.80, 5000
1, 6705.60, 5000
1, 6880.80, 5000
1, 7164.40, 5000
1, 7200.60, 5000
1, 6506.40, 5000
1, 6252.00, 5000
1, 7148.40, 5000
1, 6806.80, 5000
1, 6862.00, 5000
1, 6559.40, 5000
1, 6998.20, 5000
1, 6476.00, 5000
1, 6553.20, 5000
1, 6991.60, 5000
1, 6738.20, 5000
1, 6008.40, 5000
1, 7360.40, 5000
1, 5974.20, 5000
