PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6305.80, 17000
5, 20252.40, 17000
1, 6552.80, 17000
6, 22604.20, 17000
1, 6064.00, 17000
7, 23362.40, 17000
1, 6336.20, 17000
8, 22553.60, 17000
1, 6455.40, 17000
8, 22100.40, 17000
1, 6598.60, 17000
9, 21909.20, 17000
1, 5980.60, 17000
10, 23556.40, 17000
1, 6703.00, 17000
10, 23978.60, 17000
1, 6582.40, 17000
10, 22803.00, 17000
2, 11207.20, 17000
9, 22527.80, 17000
2, 11329.60, 17000
9, 22693.00, 17000
2, 11304.80, 17000
9, 22256.60, 17000
3, 14770.20, 17000
7, 21757.60, 17000
3, 14427.60, 17000
7, 21161.60, 17000
3, 14715.60, 17000
6, 20708.40, 17000
3, 13972.60, 17000
6, 20313.00, 17000
3, 14299.20, 17000
6, 19074.00, 17000
3, 14299.00, 17000
6, 18886.00, 17000
4, 16236.60, 17000
4, 17191.20, 17000
4, 17667.40, 17000
4, 17406.80, 17000
4, 17377.60, 17000
4, 17794.60, 17000
4, 17435.80, 17000
4, 17440.00, 17000
4, 17907.80, 17000
4, 17231.00, 17000
4, 17395.80, 17000
4, 17433.60, 17000
4, 17109.20, 17000
4, 17196.20, 17000
4, 16960.80, 17000
4, 17751.00, 17000
4, 17158.00, 17000
4, 17342.60, 17000
4, 17129.20, 17000
4, 17274.00, 17000
4, 16744.20, 17000
4, 17190.40, 17000
4, 17243.00, 17000
4, 17280.00, 17000
4, 16948.60, 10000
1, 6932.00, 10000
6, 20096.40, 10000
1, 6752.40, 10000
6, 17936.40, 10000
1, 6621.00, 10000
5, 19005.40, 10000
1, 6481.80, 10000
5, 19338.40, 10000
1, 6168.20, 10000
4, 17213.60, 10000
1, 6572.80, 10000
3, 14841.60, 10000
1, 6766.00, 10000
3, 14557.60, 10000
1, 6971.20, 10000
2, 11166.40, 10000
1, 7424.00, 10000
2, 10405.40, 10000
2, 10675.20, 10000
2, 10586.60, 10000
2, 11065.40, 10000
1, 6657.80, 10000
2, 10728.40, 10000
2, 11045.00, 10000
1, 6645.80, 10000
3, 14468.80, 10000
1, 7197.40, 10000
3, 14894.60, 10000
1, 6482.60, 10000
3, 14973.60, 10000
1, 7003.40, 10000
2, 10717.20, 10000
2, 10753.80, 10000
2, 11068.00, 10000
1, 7035.00, 10000
2, 10784.80, 10000
2, 10558.20, 10000
2, 10919.60, 10000
2, 11217.00, 10000
1, 6777.80, 10000
3, 14975.40, 10000
1, 5726.60, 10000
3, 14203.00, 10000
1, 7099.20, 10000
3, 14602.80, 10000
1, 6567.60, 10000
3, 14346.00, 10000
1, 6491.40, 10000
2, 10949.20, 10000
