PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE,ARRIVAL_RATE,
1,3626.40,20000,3626,40
10,2787.0,20000,2787,0
10,15615.40,20000,15615,40
10,10971.80,20000,10971,80
10,14556.60,20000,14556,60
10,14892.80,20000,14892,80
10,17063.80,20000,17063,80
10,14880.20,20000,14880,20
10,15607.60,20000,15607,60
10,17382.20,20000,17382,20
10,17867.60,20000,17867,60
10,13041.0,20000,13041,0
10,19302.60,20000,19302,60
10,15844.60,20000,15844,60
10,10765.0,20000,10765,0
10,16570.60,20000,16570,60
10,17255.60,20000,17255,60
10,17790.60,10000,17790,60
1,1039.0,10000,1039,0
10,15613.20,10000,15613,20
1,2175.60,10000,2175,60
10,16385.60,10000,16385,60
1,1439.20,10000,1439,20
10,18220.80,10000,18220,80
1,1227.20,10000,1227,20
10,19287.80,10000,19287,80
1,1168.80,10000,1168,80
10,17370.0,8000,17370,0
1,1328.0,8000,1328,0
10,21561.40,8000,21561,40
1,5456.0,8000,5456,0
10,27346.20,8000,27346,20
1,7238.60,8000,7238,60
10,30590.80,8000,30590,80
1,6853.80,8000,6853,80
10,24666.60,8000,24666,60
1,7350.60,8000,7350,60
10,25976.40,8000,25976,40
1,7116.20,8000,7116,20
10,26381.20,8000,26381,20
1,6525.0,8000,6525,0
10,26393.40,8000,26393,40
1,6726.60,8000,6726,60
10,26495.0,8000,26495,0
1,6904.60,8000,6904,60
10,26626.40,8000,26626,40
1,6135.60,8000,6135,60
10,27295.20,8000,27295,20
1,7470.60,8000,7470,60
10,26997.0,8000,26997,0
1,7005.20,8000,7005,20
10,26875.20,8000,26875,20
1,8003.60,8000,8003,60
1,7277.80,8000,7277,80
10,27015.20,8000,27015,20
1,6984.80,8000,6984,80
10,27258.20,8000,27258,20
1,7174.0,8000,7174,0
10,26584.40,8000,26584,40
1,6699.0,8000,6699,0
10,26019.20,8000,26019,20
1,6473.0,8000,6473,0
10,27205.60,8000,27205,60
1,7417.60,8000,7417,60
10,26681.20,8000,26681,20
1,7494.40,8000,7494,40
10,26769.0,8000,26769,0
1,6801.20,8000,6801,20
10,26325.0,8000,26325,0
1,7324.0,8000,7324,0
10,26642.0,8000,26642,0
1,6845.80,8000,6845,80
10,26154.0,8000,26154,0
1,3941.60,15000,3941,60
10,17619.0,15000,17619,0
1,3657.60,15000,3657,60
10,24966.0,15000,24966,0
1,2581.20,15000,2581,20
10,21793.20,15000,21793,20
1,1545.80,15000,1545,80
10,24812.80,15000,24812,80
1,1770.60,15000,1770,60
10,23328.40,15000,23328,40
1,2554.0,15000,2554,0
10,2674.60,15000,2674,60
10,23511.40,15000,23511,40
1,2042.20,15000,2042,20
10,23279.80,5000,23279,80
1,1325.0,5000,1325,0
10,1285.0,5000,1285,0
10,20085.80,5000,20085,80
1,1705.40,5000,1705,40
10,17642.80,5000,17642,80
1,1943.20,5000,1943,20
10,19122.40,5000,19122,40
1,1489.20,5000,1489,20
10,19655.20,5000,19655,20
