PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5756.20, 17000
10, 23830.40, 17000
10, 23264.60, 17000
1, 6604.00, 17000
10, 23041.60, 17000
1, 7047.80, 17000
10, 23233.80, 17000
10, 19995.20, 17000
10, 20966.60, 17000
1, 6105.20, 17000
10, 20504.60, 17000
10, 20415.40, 17000
10, 19364.40, 17000
1, 6910.80, 17000
10, 20082.20, 17000
10, 19372.40, 17000
10, 19981.80, 17000
10, 21419.60, 17000
1, 6542.80, 17000
10, 19109.60, 17000
10, 20029.60, 17000
10, 19031.80, 17000
10, 19508.40, 17000
1, 6721.40, 17000
10, 19785.40, 17000
10, 18473.00, 17000
10, 20556.20, 17000
1, 6571.00, 17000
10, 17903.00, 17000
10, 19879.00, 17000
10, 19774.80, 17000
10, 18457.00, 17000
10, 18538.60, 17000
10, 18809.40, 17000
1, 6496.80, 17000
10, 20120.40, 17000
10, 19911.20, 17000
10, 18785.80, 17000
10, 20064.20, 17000
1, 6233.00, 17000
10, 19055.00, 17000
10, 19540.00, 17000
10, 18471.40, 17000
10, 19735.20, 17000
10, 18414.00, 17000
1, 6761.80, 17000
10, 19589.80, 17000
10, 19468.20, 17000
10, 19716.40, 17000
10, 18860.00, 17000
10, 18056.40, 17000
1, 6486.00, 17000
10, 19593.40, 17000
10, 20025.00, 17000
10, 20140.00, 17000
10, 19660.60, 17000
1, 6704.00, 17000
10, 21068.20, 17000
10, 19397.40, 17000
10, 19707.40, 17000
1, 6376.00, 10000
10, 19388.20, 10000
1, 6619.40, 10000
10, 20283.40, 10000
1, 6302.40, 10000
1, 6521.40, 10000
1, 6422.20, 10000
10, 20812.20, 10000
1, 6232.40, 10000
1, 6368.20, 10000
1, 6511.00, 10000
10, 20903.00, 10000
1, 6326.40, 10000
1, 7160.40, 10000
1, 7254.80, 10000
1, 7115.00, 10000
10, 21825.60, 10000
1, 7628.60, 10000
1, 6994.80, 10000
1, 6721.60, 10000
1, 5783.40, 10000
10, 20484.80, 10000
1, 6247.20, 10000
1, 6746.20, 10000
1, 6474.00, 10000
10, 20317.60, 10000
1, 5887.60, 10000
1, 5735.00, 10000
10, 19841.40, 10000
1, 6091.00, 10000
1, 5688.00, 10000
1, 6585.20, 10000
10, 21021.40, 10000
1, 6282.80, 10000
1, 6339.80, 10000
1, 6681.40, 10000
10, 19791.00, 10000
1, 6248.60, 10000
1, 6758.20, 10000
1, 6457.00, 10000
10, 20421.80, 10000
1, 6841.20, 10000
1, 6688.60, 10000
1, 6608.40, 10000
10, 20479.80, 10000
1, 6739.20, 10000
1, 6987.00, 10000
1, 6773.60, 10000
10, 20869.60, 10000
1, 6491.20, 10000
1, 6193.80, 10000
1, 6744.20, 10000
10, 21760.40, 10000
1, 6405.60, 10000
1, 6358.20, 10000
1, 6157.80, 10000
10, 20717.20, 10000
1, 5632.80, 10000
1, 6142.80, 10000
1, 7181.20, 10000
10, 20411.80, 20000
1, 6254.20, 20000
10, 20697.60, 20000
10, 20375.20, 20000
10, 20117.40, 20000
10, 20377.40, 20000
10, 18895.60, 20000
10, 21568.60, 20000
10, 20353.80, 20000
10, 20447.60, 20000
10, 19842.40, 20000
10, 20279.80, 20000
10, 20305.20, 20000
10, 21379.00, 20000
10, 20888.00, 20000
10, 21338.80, 20000
10, 22896.80, 20000
10, 22219.20, 20000
1, 6088.00, 20000
10, 22419.80, 20000
10, 21673.60, 20000
10, 21084.20, 20000
10, 22093.80, 20000
10, 21605.00, 20000
10, 22030.80, 20000
10, 22279.60, 20000
1, 6504.80, 20000
10, 21678.80, 20000
10, 21791.00, 20000
10, 23626.80, 20000
10, 22926.80, 20000
10, 23032.40, 20000
