PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5556.40, 17000
10, 27799.60, 17000
1, 7426.80, 17000
10, 22765.60, 17000
1, 6391.20, 17000
10, 22233.00, 17000
10, 20162.00, 17000
10, 21263.00, 17000
1, 6971.40, 17000
10, 20953.00, 17000
10, 21185.20, 17000
1, 6045.60, 17000
10, 19802.80, 17000
10, 19992.20, 17000
10, 19760.80, 17000
10, 21008.80, 17000
1, 6428.80, 17000
10, 21533.00, 17000
10, 21250.20, 17000
6, 17962.40, 17000
10, 20726.00, 17000
1, 7063.60, 17000
10, 20566.60, 17000
10, 20451.00, 17000
1, 6375.40, 17000
10, 19801.60, 17000
10, 20445.20, 17000
10, 19947.00, 17000
10, 20954.60, 17000
1, 6901.60, 17000
10, 19557.60, 17000
10, 19117.40, 17000
10, 19737.60, 17000
1, 6573.80, 17000
10, 18763.40, 17000
10, 19470.80, 17000
10, 19766.60, 17000
10, 19553.00, 17000
10, 19624.00, 17000
1, 6388.40, 17000
10, 19448.00, 17000
10, 18996.20, 17000
10, 17653.80, 17000
10, 18828.40, 17000
10, 18286.00, 17000
10, 18490.00, 17000
10, 18884.40, 17000
1, 6531.20, 17000
10, 18380.60, 17000
10, 17772.60, 17000
10, 17909.00, 17000
10, 19074.40, 17000
10, 19184.20, 17000
10, 18379.80, 17000
10, 17476.40, 17000
10, 18533.80, 17000
1, 6420.20, 17000
10, 17990.00, 17000
10, 18215.00, 17000
10, 16974.60, 17000
10, 18451.00, 10000
1, 6605.00, 10000
10, 18930.00, 10000
1, 6472.40, 10000
10, 16658.40, 10000
1, 6795.40, 10000
1, 6477.80, 10000
10, 19254.80, 10000
1, 6610.80, 10000
1, 5965.40, 10000
10, 16981.20, 10000
1, 6096.40, 10000
1, 6159.40, 10000
10, 17167.40, 10000
1, 6910.80, 10000
1, 6943.00, 10000
1, 6450.80, 10000
10, 17196.20, 10000
1, 6337.00, 10000
10, 20882.80, 10000
1, 6621.20, 10000
1, 6908.40, 10000
1, 6447.60, 10000
1, 6542.60, 10000
10, 17391.60, 10000
1, 6154.00, 10000
10, 18220.60, 10000
1, 6862.40, 10000
1, 6677.00, 10000
1, 6364.40, 10000
10, 18721.60, 10000
1, 5882.60, 10000
1, 6449.60, 10000
1, 6395.80, 10000
10, 18979.60, 10000
1, 6519.20, 10000
1, 6814.40, 10000
10, 18558.40, 10000
1, 6128.40, 10000
1, 6661.40, 10000
1, 5943.00, 10000
10, 20648.00, 10000
1, 6223.00, 10000
1, 6882.60, 10000
1, 5767.00, 10000
10, 19673.80, 10000
1, 6854.00, 10000
1, 6297.60, 10000
10, 20124.80, 10000
1, 6000.00, 10000
1, 5933.60, 10000
1, 6327.40, 10000
10, 19274.40, 10000
1, 6491.60, 10000
1, 6357.20, 10000
10, 20055.60, 10000
1, 6440.20, 10000
1, 6670.80, 10000
1, 6626.00, 10000
10, 19088.80, 10000
1, 6388.20, 20000
10, 19666.20, 20000
10, 18958.60, 20000
10, 19923.40, 20000
10, 19898.80, 20000
10, 19243.80, 20000
10, 19163.40, 20000
10, 18153.20, 20000
10, 19961.60, 20000
10, 20938.20, 20000
10, 20767.80, 20000
10, 19305.80, 20000
10, 20143.00, 20000
10, 20301.40, 20000
10, 19740.60, 20000
10, 21646.20, 20000
10, 21758.20, 20000
10, 20902.80, 20000
10, 21980.00, 20000
1, 6467.20, 20000
10, 21409.40, 20000
10, 21505.20, 20000
10, 21682.80, 20000
10, 20471.60, 20000
10, 21196.20, 20000
10, 19687.60, 20000
10, 20478.80, 20000
10, 21370.00, 20000
10, 19668.20, 20000
10, 19192.60, 20000
10, 20801.00, 20000
10, 21059.20, 20000
10, 19620.20, 20000
10, 20083.80, 20000
10, 20888.40, 20000
10, 19472.40, 20000
10, 19536.80, 20000
10, 19178.40, 20000
10, 19635.40, 20000
10, 18038.40, 20000
10, 19252.60, 20000
10, 20291.60, 20000
10, 19025.00, 20000
10, 20321.80, 20000
10, 19727.00, 20000
10, 20439.20, 20000
10, 19716.40, 20000
10, 20949.80, 20000
10, 20428.40, 20000
10, 19855.60, 20000
10, 20448.60, 20000
10, 20681.40, 20000
10, 20927.00, 20000
10, 20806.00, 20000
10, 20742.40, 20000
10, 21256.20, 20000
10, 20040.60, 20000
8, 20388.20, 20000
10, 21703.00, 20000
1, 6446.40, 20000
10, 21690.40, 5000
1, 6456.80, 5000
1, 6084.00, 5000
1, 6289.60, 5000
1, 5754.40, 5000
1, 5602.00, 5000
1, 6149.40, 5000
1, 6640.80, 5000
1, 6293.80, 5000
1, 5791.00, 5000
1, 6012.00, 5000
1, 6175.00, 5000
1, 5878.00, 5000
1, 6795.20, 5000
1, 6349.00, 5000
1, 6109.40, 5000
1, 6483.80, 5000
1, 6192.60, 5000
1, 6078.40, 5000
1, 6590.80, 5000
1, 6133.20, 5000
1, 6109.00, 5000
1, 5796.60, 5000
1, 6201.00, 5000
1, 5945.20, 5000
1, 6755.20, 5000
1, 6205.20, 5000
1, 6451.00, 5000
1, 6622.00, 5000
1, 6184.60, 5000
1, 6576.20, 5000
1, 6492.60, 5000
1, 6310.60, 5000
1, 6614.00, 5000
1, 5702.00, 5000
1, 5935.40, 5000
1, 6384.80, 5000
1, 6346.60, 5000
1, 6727.00, 5000
1, 6177.60, 5000
1, 6132.20, 5000
1, 5616.40, 5000
1, 6405.80, 5000
1, 6421.60, 5000
1, 6539.20, 5000
1, 6568.00, 5000
1, 6700.60, 5000
1, 5781.80, 5000
1, 5853.60, 5000
1, 5993.60, 5000
1, 6347.60, 5000
1, 6250.00, 5000
1, 5633.80, 5000
1, 6603.80, 5000
1, 5894.40, 5000
1, 6789.40, 5000
1, 6859.40, 5000
1, 6397.80, 5000
1, 6491.20, 5000
1, 6199.80, 5000
1, 6282.40, 8000
1, 6369.00, 8000
1, 6151.80, 8000
1, 6428.20, 8000
1, 6573.60, 8000
1, 5926.00, 8000
1, 5806.60, 8000
1, 6438.60, 8000
1, 6197.40, 8000
1, 6261.80, 8000
1, 6146.00, 8000
1, 6531.40, 8000
1, 6358.60, 8000
1, 6545.00, 8000
1, 6714.60, 8000
1, 7065.60, 8000
1, 6263.80, 8000
1, 5776.20, 8000
1, 6586.40, 8000
1, 6408.40, 8000
1, 6617.20, 8000
1, 6690.00, 8000
