PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5925.80, 17000
10, 28229.80, 17000
1, 7234.20, 17000
10, 26757.60, 17000
1, 6546.40, 17000
10, 28236.20, 17000
1, 7614.60, 17000
10, 24825.20, 17000
1, 6511.00, 17000
10, 23471.80, 17000
10, 23453.60, 17000
1, 7253.80, 17000
10, 23525.80, 17000
1, 6455.80, 17000
10, 25167.00, 17000
10, 24464.00, 17000
1, 6541.60, 17000
10, 23537.80, 17000
1, 6794.20, 17000
10, 22490.40, 17000
10, 23389.00, 17000
1, 6821.60, 17000
10, 25106.80, 17000
1, 7116.60, 17000
10, 24846.00, 17000
1, 7682.80, 17000
10, 23002.20, 17000
10, 24634.20, 17000
1, 6413.00, 17000
10, 22625.20, 17000
10, 22116.40, 17000
1, 7254.80, 17000
10, 25271.00, 17000
1, 6616.60, 17000
10, 24625.60, 17000
1, 7137.20, 17000
10, 23299.20, 17000
10, 24316.80, 17000
1, 6828.20, 17000
10, 22299.00, 17000
10, 22739.80, 17000
1, 6590.80, 17000
10, 24537.00, 17000
1, 7255.20, 17000
10, 23395.60, 17000
10, 23006.00, 17000
1, 6477.60, 17000
10, 23276.60, 17000
1, 6332.20, 17000
10, 24532.60, 17000
10, 23046.40, 17000
10, 22517.40, 17000
1, 6938.80, 17000
10, 22395.80, 17000
1, 6761.40, 17000
10, 22824.40, 17000
1, 7030.80, 17000
10, 24284.20, 17000
10, 23736.00, 17000
1, 6822.40, 17000
10, 24413.00, 10000
1, 6910.40, 10000
10, 23381.00, 10000
1, 6466.80, 10000
1, 7199.40, 10000
1, 6839.00, 10000
1, 6762.80, 10000
1, 6589.40, 10000
10, 23373.00, 10000
1, 6928.40, 10000
1, 7463.20, 10000
1, 6330.00, 10000
1, 6720.20, 10000
1, 6211.60, 10000
10, 23698.00, 10000
1, 6369.20, 10000
1, 7049.60, 10000
1, 7013.20, 10000
1, 7271.00, 10000
10, 23200.00, 10000
1, 6782.40, 10000
1, 7097.40, 10000
1, 6699.60, 10000
1, 6976.00, 10000
10, 22479.00, 10000
1, 6841.80, 10000
1, 6790.00, 10000
1, 6339.40, 10000
1, 6775.00, 10000
10, 23879.80, 10000
1, 6195.40, 10000
1, 6305.40, 10000
1, 7187.20, 10000
1, 6532.40, 10000
10, 24929.60, 10000
1, 7304.80, 10000
1, 7293.40, 10000
1, 6312.40, 10000
1, 7172.40, 10000
1, 6985.00, 10000
10, 24258.20, 10000
1, 6470.00, 10000
1, 6353.00, 10000
1, 7466.40, 10000
1, 6867.80, 10000
10, 25580.00, 10000
1, 7024.60, 10000
1, 6679.40, 10000
1, 7197.40, 10000
1, 6906.60, 10000
1, 7222.00, 10000
1, 6620.60, 10000
10, 23161.20, 10000
1, 6474.20, 10000
1, 7164.20, 10000
1, 6635.80, 10000
1, 6680.80, 10000
10, 24917.80, 10000
1, 7072.20, 10000
1, 6561.20, 10000
1, 6477.40, 20000
10, 23537.60, 20000
10, 24604.60, 20000
10, 24466.60, 20000
1, 6847.20, 20000
10, 24919.40, 20000
10, 25127.20, 20000
1, 6326.80, 20000
10, 24984.00, 20000
10, 23966.20, 20000
10, 25020.60, 20000
1, 6873.80, 20000
10, 24566.20, 20000
10, 24318.20, 20000
10, 23866.20, 20000
1, 6739.60, 20000
10, 24348.40, 20000
10, 23575.40, 20000
10, 22626.60, 20000
10, 21438.20, 20000
10, 21058.40, 20000
1, 6447.20, 20000
10, 23561.20, 20000
10, 23237.60, 20000
10, 24477.00, 20000
10, 24748.20, 20000
1, 6371.60, 20000
10, 24920.40, 20000
10, 24740.60, 20000
10, 24993.00, 20000
1, 6809.60, 20000
10, 24554.20, 20000
