PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5933.40, 17000
10, 22587.60, 17000
1, 6918.60, 17000
10, 23415.40, 17000
1, 6324.40, 17000
10, 23573.00, 17000
1, 6748.20, 17000
10, 22649.00, 17000
1, 6134.20, 17000
10, 22292.20, 17000
1, 6202.80, 17000
10, 21195.80, 17000
10, 21752.00, 17000
10, 21785.60, 17000
10, 22653.00, 17000
10, 22588.40, 17000
1, 6698.00, 17000
10, 21488.00, 17000
1, 6396.60, 17000
10, 20872.00, 17000
1, 6705.80, 17000
10, 22559.40, 17000
1, 6014.60, 17000
10, 20969.00, 17000
10, 22165.40, 17000
10, 22473.40, 17000
10, 23338.20, 17000
10, 22700.80, 17000
10, 22398.20, 17000
1, 6085.60, 17000
10, 22062.60, 17000
1, 6039.80, 17000
10, 23112.20, 17000
1, 6708.60, 17000
10, 23059.00, 17000
1, 6617.00, 17000
10, 22390.40, 17000
1, 5886.20, 17000
10, 23751.40, 17000
1, 6693.00, 17000
10, 23686.40, 17000
10, 24023.40, 17000
10, 22797.00, 17000
10, 23445.60, 17000
10, 23669.00, 17000
1, 6514.40, 17000
10, 23954.80, 17000
1, 6222.80, 17000
10, 23859.40, 17000
1, 6742.00, 17000
10, 23263.00, 17000
1, 6837.40, 17000
10, 24007.20, 17000
1, 6517.20, 17000
10, 23252.60, 17000
1, 7300.60, 17000
10, 23831.00, 17000
1, 6578.40, 17000
10, 22968.80, 17000
10, 23696.20, 17000
10, 23084.80, 10000
1, 5943.00, 10000
10, 23085.40, 10000
1, 6717.80, 10000
10, 23203.60, 10000
1, 6121.60, 10000
10, 24361.60, 10000
1, 6926.40, 10000
10, 23950.00, 10000
1, 6462.60, 10000
10, 22963.80, 10000
1, 6401.60, 10000
1, 6600.80, 10000
1, 6024.20, 10000
1, 7003.00, 10000
1, 6528.00, 10000
1, 6368.40, 10000
1, 6502.40, 10000
1, 6316.00, 10000
1, 6212.40, 10000
10, 21855.60, 10000
1, 6439.60, 10000
10, 23880.60, 10000
1, 6672.20, 10000
10, 22444.00, 10000
1, 6913.20, 10000
1, 7361.80, 10000
1, 7040.20, 10000
1, 6749.40, 10000
1, 6827.60, 10000
1, 7267.80, 10000
1, 7129.60, 10000
1, 6999.80, 10000
1, 7367.20, 10000
1, 7532.80, 10000
1, 6823.80, 10000
10, 22245.40, 10000
1, 6647.40, 10000
10, 22916.40, 10000
1, 7282.80, 10000
1, 7307.20, 10000
1, 6712.20, 10000
1, 6840.40, 10000
1, 6894.00, 10000
1, 6632.20, 10000
10, 21599.60, 10000
1, 6616.20, 10000
10, 23835.40, 10000
1, 6350.80, 10000
1, 6452.20, 10000
1, 6757.00, 10000
1, 6752.60, 10000
1, 6480.60, 10000
1, 6468.20, 10000
1, 7020.00, 10000
10, 20663.60, 10000
1, 6603.80, 10000
10, 22232.20, 10000
1, 6245.00, 10000
10, 21836.40, 10000
1, 6196.40, 20000
10, 21898.00, 20000
1, 7015.80, 20000
10, 23312.40, 20000
1, 6985.00, 20000
10, 21217.00, 20000
1, 6384.00, 20000
10, 21780.20, 20000
1, 6390.80, 20000
10, 21955.80, 20000
10, 22855.60, 20000
10, 21333.40, 20000
10, 22045.20, 20000
10, 20188.60, 20000
10, 21726.00, 20000
10, 24260.20, 20000
10, 21923.40, 20000
10, 22613.80, 20000
10, 25859.00, 20000
1, 6444.80, 20000
10, 25219.00, 20000
1, 6701.80, 20000
10, 22577.60, 20000
1, 6190.40, 20000
10, 24451.60, 20000
10, 24290.80, 20000
10, 25060.60, 20000
10, 25889.80, 20000
10, 25057.20, 20000
10, 24357.20, 20000
1, 6825.40, 20000
10, 22597.40, 20000
1, 6787.80, 20000
10, 24801.40, 20000
1, 6573.00, 20000
10, 25334.80, 20000
10, 25260.60, 20000
10, 25809.40, 20000
10, 26100.80, 20000
10, 25544.60, 20000
1, 6544.60, 20000
10, 24999.60, 20000
1, 6568.00, 20000
10, 25671.40, 20000
1, 5996.00, 20000
10, 25446.20, 20000
10, 26106.40, 20000
10, 25887.20, 20000
10, 26083.40, 20000
10, 25834.40, 20000
1, 6691.00, 20000
10, 25807.60, 20000
1, 7023.00, 20000
10, 25250.20, 20000
1, 6096.20, 20000
10, 25786.20, 20000
10, 26343.20, 20000
10, 26019.80, 20000
10, 26008.60, 20000
10, 25684.20, 20000
1, 6163.20, 5000
10, 24881.00, 5000
1, 6707.00, 5000
10, 25721.20, 5000
1, 6987.40, 5000
1, 6591.60, 5000
1, 7226.60, 5000
1, 6638.40, 5000
1, 6686.40, 5000
1, 7092.80, 5000
1, 6320.20, 5000
1, 6646.60, 5000
1, 6615.80, 5000
1, 7159.00, 5000
1, 6984.60, 5000
1, 6488.80, 5000
1, 7288.60, 5000
1, 6682.60, 5000
1, 6263.80, 5000
1, 7230.40, 5000
1, 6761.60, 5000
1, 7397.00, 5000
1, 6904.40, 5000
1, 6667.20, 5000
1, 6653.80, 5000
1, 7003.20, 5000
1, 7272.00, 5000
1, 6297.20, 5000
1, 6752.00, 5000
1, 6771.40, 5000
1, 7048.40, 5000
1, 7331.20, 5000
1, 7046.20, 5000
1, 6519.20, 5000
1, 6721.00, 5000
1, 7015.20, 5000
1, 7122.00, 5000
1, 7040.80, 5000
1, 6925.40, 5000
1, 7256.80, 5000
1, 7070.60, 5000
1, 7200.40, 5000
1, 6811.00, 5000
1, 7130.40, 5000
1, 6236.80, 5000
1, 7403.00, 5000
1, 6468.20, 5000
1, 7005.80, 5000
1, 7184.00, 5000
1, 7127.60, 5000
1, 6894.60, 5000
1, 7050.40, 5000
1, 6676.00, 5000
1, 7290.40, 5000
1, 6807.20, 5000
1, 7592.40, 5000
1, 7067.20, 5000
1, 6179.20, 5000
1, 7123.60, 5000
1, 6738.20, 5000
1, 7200.20, 8000
1, 6439.40, 8000
1, 7160.00, 8000
1, 6283.40, 8000
1, 6758.60, 8000
1, 6365.00, 8000
1, 6489.60, 8000
1, 6499.80, 8000
1, 7094.00, 8000
1, 6909.80, 8000
1, 7471.80, 8000
1, 5904.20, 8000
1, 6810.40, 8000
1, 7419.20, 8000
1, 6746.00, 8000
1, 6897.60, 8000
1, 6864.00, 8000
1, 6695.40, 8000
1, 6712.20, 8000
1, 6904.60, 8000
1, 6879.20, 8000
1, 7090.60, 8000
1, 6482.60, 8000
1, 6720.40, 8000
1, 7617.80, 8000
1, 6752.20, 8000
1, 7499.80, 8000
1, 7401.40, 8000
1, 7010.00, 8000
1, 6302.40, 8000
1, 7243.20, 8000
1, 6853.20, 8000
1, 6434.80, 8000
1, 7281.00, 8000
1, 6990.20, 8000
1, 6718.40, 8000
1, 7172.20, 8000
1, 6599.80, 8000
1, 7439.00, 8000
1, 6608.00, 8000
1, 7239.80, 8000
1, 6820.60, 8000
1, 7346.80, 8000
1, 7076.80, 8000
1, 7017.40, 8000
1, 6775.40, 8000
1, 7182.40, 8000
1, 6507.20, 8000
1, 6582.20, 8000
1, 6802.80, 8000
1, 6787.80, 8000
1, 6625.40, 8000
1, 6073.20, 8000
1, 6598.60, 8000
1, 6909.80, 8000
1, 6536.40, 8000
1, 7252.20, 8000
1, 6724.00, 8000
1, 7080.80, 8000
1, 7109.40, 8000
