PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6608.80, 17000
3, 16186.00, 17000
3, 15547.20, 17000
3, 13449.40, 17000
4, 16254.80, 17000
4, 16956.20, 17000
4, 16350.40, 17000
4, 16947.00, 17000
4, 16589.00, 17000
4, 16918.00, 17000
4, 17169.80, 17000
4, 17046.20, 17000
4, 15353.00, 17000
4, 16328.00, 17000
4, 15888.60, 17000
4, 16445.20, 17000
4, 15692.60, 17000
4, 16773.20, 17000
4, 16156.80, 17000
4, 15267.00, 17000
4, 15420.20, 17000
4, 16240.20, 17000
4, 15474.80, 17000
4, 16374.00, 17000
4, 16851.80, 17000
4, 16310.00, 17000
4, 15974.00, 17000
4, 15588.80, 17000
4, 14578.20, 17000
5, 16881.40, 17000
5, 17667.80, 17000
5, 17065.20, 17000
5, 17702.40, 17000
5, 17926.80, 17000
5, 17966.40, 17000
5, 16992.40, 17000
5, 17202.20, 17000
5, 17823.80, 17000
5, 18282.20, 17000
5, 17153.00, 17000
5, 17382.40, 17000
5, 17284.40, 17000
5, 17124.20, 17000
5, 17398.80, 17000
5, 16621.80, 17000
5, 16986.20, 17000
5, 17420.00, 17000
5, 17553.00, 17000
5, 17472.40, 17000
5, 17416.60, 17000
5, 17236.40, 17000
5, 17683.60, 17000
5, 17514.80, 17000
5, 17111.00, 17000
5, 17878.00, 17000
5, 17202.40, 17000
5, 16894.60, 17000
5, 16933.20, 17000
5, 17372.20, 17000
5, 17874.40, 17000
5, 17649.80, 10000
3, 14270.80, 10000
2, 11468.20, 10000
2, 10757.40, 10000
2, 10881.60, 10000
2, 11289.40, 10000
2, 10094.00, 10000
2, 10694.60, 10000
2, 11220.40, 10000
2, 11137.40, 10000
2, 11474.20, 10000
2, 11338.20, 10000
2, 10449.60, 10000
2, 10260.80, 10000
2, 10900.00, 10000
2, 10298.60, 10000
2, 11475.20, 10000
2, 10706.40, 10000
2, 10962.40, 10000
2, 10680.20, 10000
2, 9726.60, 10000
2, 10899.40, 10000
2, 11126.40, 10000
2, 10594.00, 10000
2, 10820.80, 10000
2, 11271.40, 10000
2, 11224.00, 10000
2, 11412.60, 10000
2, 10792.80, 10000
2, 10795.60, 10000
2, 11082.80, 10000
2, 10622.80, 10000
2, 11232.20, 10000
2, 10360.40, 10000
2, 10933.20, 10000
2, 10935.00, 10000
2, 11092.00, 10000
2, 10958.20, 10000
2, 10857.40, 10000
2, 10791.80, 10000
2, 11384.00, 10000
2, 10483.40, 10000
2, 10742.20, 10000
2, 10822.20, 10000
2, 11277.20, 10000
2, 10846.80, 10000
2, 10466.80, 10000
2, 10780.80, 10000
2, 11047.20, 10000
2, 10878.60, 10000
2, 11081.40, 10000
2, 11124.40, 10000
2, 10083.00, 10000
2, 11140.00, 10000
2, 10704.00, 10000
2, 11059.20, 10000
2, 10990.20, 10000
2, 11141.00, 10000
2, 10605.20, 10000
2, 10881.60, 10000
2, 10571.40, 20000
4, 16501.00, 20000
5, 17314.40, 20000
6, 17327.00, 20000
7, 18846.00, 20000
7, 20555.20, 20000
7, 17664.00, 20000
8, 21509.60, 20000
7, 18433.60, 20000
8, 18787.80, 20000
9, 19416.00, 20000
9, 19585.00, 20000
9, 20415.40, 20000
9, 20537.80, 20000
9, 20238.20, 20000
9, 20219.00, 20000
9, 21592.40, 20000
8, 20751.20, 20000
8, 20126.20, 20000
8, 19769.80, 20000
8, 20631.20, 20000
8, 19900.40, 20000
8, 21059.40, 20000
8, 20750.40, 20000
8, 20618.00, 20000
8, 21235.20, 20000
8, 20745.40, 20000
8, 20052.80, 20000
8, 20245.00, 20000
8, 20524.00, 20000
8, 21304.40, 20000
8, 20856.20, 20000
8, 21701.80, 20000
7, 20108.80, 20000
7, 20802.20, 20000
7, 22502.00, 20000
6, 19311.20, 20000
6, 19377.80, 20000
6, 19506.60, 20000
6, 19443.60, 20000
6, 19318.20, 20000
6, 19697.20, 20000
6, 20509.20, 20000
6, 19189.60, 20000
6, 18655.80, 20000
6, 19613.60, 20000
6, 20488.20, 20000
6, 19159.40, 20000
6, 19290.40, 20000
6, 18910.60, 20000
6, 19265.80, 20000
6, 19671.20, 20000
6, 18912.80, 20000
6, 19521.00, 20000
6, 20195.60, 20000
6, 19009.40, 20000
6, 19429.20, 20000
6, 20229.80, 20000
6, 20323.60, 20000
6, 20173.20, 20000
6, 20042.00, 5000
1, 7010.20, 5000
1, 6024.40, 5000
1, 6176.40, 5000
1, 6635.60, 5000
1, 6685.00, 5000
1, 7114.20, 5000
1, 6793.60, 5000
1, 6360.80, 5000
1, 6290.00, 5000
1, 6095.00, 5000
1, 5939.80, 5000
1, 6279.40, 5000
1, 6365.40, 5000
1, 6756.20, 5000
1, 7360.40, 5000
1, 6340.80, 5000
1, 6060.60, 5000
1, 6567.40, 5000
1, 6981.60, 5000
1, 6795.80, 5000
1, 6507.80, 5000
1, 6803.20, 5000
1, 7116.00, 5000
1, 6511.80, 5000
1, 7006.20, 5000
1, 7264.80, 5000
1, 6368.60, 5000
1, 7052.60, 5000
1, 6609.60, 5000
1, 5887.00, 5000
1, 6491.60, 5000
1, 6567.00, 5000
1, 7090.80, 5000
1, 6159.00, 5000
1, 7276.40, 5000
1, 6004.60, 5000
1, 6545.60, 5000
1, 6605.80, 5000
1, 6861.20, 5000
1, 6827.40, 5000
1, 7424.00, 5000
1, 6904.80, 5000
1, 6468.60, 5000
1, 6936.60, 5000
1, 7624.40, 5000
1, 7064.40, 5000
1, 7028.80, 5000
1, 6802.00, 5000
1, 6559.80, 5000
1, 6395.80, 5000
1, 6345.40, 5000
1, 6066.00, 5000
1, 6121.60, 5000
1, 6748.40, 5000
1, 7214.40, 5000
1, 6904.40, 5000
1, 7163.40, 5000
1, 6742.60, 5000
1, 7164.20, 5000
1, 6957.40, 8000
1, 7193.80, 8000
1, 6827.20, 8000
1, 6745.40, 8000
1, 6987.00, 8000
1, 6852.60, 8000
1, 6816.80, 8000
1, 7238.60, 8000
1, 6946.60, 8000
1, 7083.40, 8000
1, 7462.80, 8000
1, 7220.00, 8000
1, 6859.00, 8000
1, 6661.40, 8000
1, 5990.60, 8000
1, 6451.40, 8000
1, 7279.20, 8000
1, 7145.00, 8000
1, 6911.60, 8000
1, 6863.40, 8000
1, 6997.20, 8000
1, 7374.60, 8000
1, 6988.40, 8000
1, 7003.80, 8000
1, 7130.20, 8000
1, 6229.00, 8000
1, 6600.80, 8000
1, 6155.40, 8000
1, 6652.40, 8000
1, 6158.20, 8000
1, 6458.20, 8000
1, 6835.00, 8000
1, 7157.00, 8000
1, 7020.40, 8000
1, 6471.20, 8000
1, 6379.80, 8000
1, 6677.40, 8000
1, 6692.20, 8000
1, 7230.00, 8000
1, 7167.80, 8000
1, 7206.00, 8000
1, 7122.80, 8000
1, 7216.80, 8000
1, 5952.80, 8000
1, 6657.80, 8000
1, 5813.20, 8000
1, 6413.40, 8000
1, 7056.40, 8000
1, 6961.00, 8000
1, 6927.80, 8000
1, 7089.40, 8000
1, 7224.20, 8000
1, 7015.40, 8000
1, 7292.40, 8000
1, 7525.60, 8000
1, 7472.20, 8000
1, 6984.20, 8000
1, 6346.20, 8000
1, 6877.60, 8000
1, 7330.80, 8000
