PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 5423.80, 17000
10, 21053.60, 17000
1, 7197.20, 17000
10, 23082.00, 17000
1, 7319.80, 17000
10, 26109.80, 17000
1, 6951.20, 17000
10, 23343.00, 17000
1, 6725.40, 17000
10, 23568.80, 17000
1, 6217.40, 17000
10, 24690.40, 17000
1, 6303.80, 17000
10, 24371.60, 17000
1, 6291.80, 17000
10, 21963.40, 17000
1, 6028.60, 17000
10, 24430.20, 17000
1, 6585.60, 17000
10, 25264.00, 17000
1, 6617.80, 17000
10, 25671.20, 17000
1, 6423.60, 17000
10, 23729.00, 17000
1, 6570.20, 17000
10, 25207.60, 17000
1, 6365.80, 17000
10, 25160.60, 17000
1, 6377.40, 17000
10, 25846.60, 17000
1, 6584.20, 17000
10, 25991.40, 17000
1, 7052.80, 17000
10, 25698.60, 17000
1, 6358.80, 17000
10, 23121.40, 17000
1, 6284.20, 17000
10, 25432.80, 17000
1, 6420.20, 17000
10, 24297.60, 17000
1, 6522.40, 17000
10, 24165.80, 17000
1, 6751.60, 17000
10, 26212.60, 17000
1, 7072.80, 17000
10, 25977.80, 17000
1, 7242.20, 17000
10, 25370.20, 17000
1, 5793.00, 17000
10, 25846.00, 17000
1, 6669.80, 17000
10, 25393.60, 17000
1, 6980.20, 17000
10, 24483.00, 17000
1, 6605.60, 17000
10, 25339.60, 17000
1, 7052.80, 17000
10, 24775.40, 17000
1, 6768.80, 17000
10, 24890.60, 17000
1, 6794.20, 10000
10, 24964.80, 10000
1, 6673.40, 10000
10, 25682.40, 10000
1, 6954.80, 10000
10, 25747.80, 10000
1, 6411.60, 10000
10, 24722.60, 10000
1, 7127.40, 10000
10, 25271.20, 10000
1, 6163.80, 10000
10, 24924.00, 10000
1, 6545.80, 10000
10, 24430.80, 10000
1, 6691.40, 10000
10, 25499.40, 10000
1, 6914.80, 10000
10, 25426.40, 10000
1, 7162.20, 10000
10, 25577.40, 10000
1, 7144.80, 10000
10, 24846.60, 10000
1, 6068.60, 10000
10, 22511.80, 10000
1, 6629.60, 10000
10, 24001.00, 10000
1, 5993.20, 10000
10, 24819.80, 10000
1, 6111.20, 10000
10, 25016.40, 10000
1, 6282.00, 10000
10, 24461.20, 10000
1, 6537.80, 10000
10, 24977.40, 10000
1, 7014.60, 10000
10, 23190.00, 10000
1, 6281.60, 10000
10, 25207.00, 10000
1, 6249.60, 10000
10, 25446.80, 10000
1, 6902.00, 10000
10, 24702.60, 10000
1, 6420.80, 10000
10, 24775.60, 10000
1, 7236.40, 10000
10, 23756.60, 10000
1, 6869.60, 10000
10, 24257.60, 10000
1, 6982.80, 10000
10, 23507.80, 10000
1, 6201.40, 10000
10, 24410.00, 10000
1, 6924.00, 10000
10, 23726.00, 10000
1, 6607.20, 10000
10, 25120.60, 10000
1, 6576.20, 10000
10, 24772.40, 10000
