PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE,,
1,1587.20,20000,1587,20
10,12404.60,20000,12404,60
10,13097.0,20000,13097,0
10,17916.60,20000,17916,60
10,16793.60,20000,16793,60
10,16240.80,20000,16240,80
10,18737.60,20000,18737,60
10,16628.20,20000,16628,20
10,15974.20,20000,15974,20
10,9831.60,20000,9831,60
10,19591.40,20000,19591,40
10,18096.60,20000,18096,60
10,18473.20,20000,18473,20
10,27634.20,20000,27634,20
1,7310.0,20000,7310,0
10,27147.0,20000,27147,0
1,7464.20,20000,7464,20
10,23985.60,10000,23985,60
1,7216.20,10000,7216,20
10,24528.20,10000,24528,20
1,6552.60,10000,6552,60
10,24974.20,10000,24974,20
1,6975.40,10000,6975,40
10,24392.60,10000,24392,60
1,7919.20,10000,7919,20
10,28364.80,10000,28364,80
1,7043.80,10000,7043,80
10,24070.0,10000,24070,0
1,7512.60,10000,7512,60
10,24394.20,10000,24394,20
1,7462.80,10000,7462,80
10,24496.0,10000,24496,0
1,7151.80,10000,7151,80
10,21509.0,10000,21509,0
1,7699.80,10000,7699,80
10,24229.40,10000,24229,40
1,7119.60,10000,7119,60
10,24103.40,10000,24103,40
1,6884.60,10000,6884,60
10,24565.0,10000,24565,0
1,7427.40,10000,7427,40
10,24138.20,10000,24138,20
1,6039.40,10000,6039,40
10,29451.80,10000,29451,80
1,7221.40,10000,7221,40
10,22757.20,10000,22757,20
1,7462.0,10000,7462,0
10,24650.80,10000,24650,80
1,7162.40,10000,7162,40
10,23425.40,10000,23425,40
1,6378.60,10000,6378,60
10,24790.60,10000,24790,60
1,6511.80,10000,6511,80
10,25074.60,10000,25074,60
1,7372.20,10000,7372,20
10,24533.60,10000,24533,60
1,6549.0,10000,6549,0
10,18823.60,10000,18823,60
1,6637.0,10000,6637,0
10,19995.80,10000,19995,80
1,4439.60,10000,4439,60
10,24637.80,10000,24637,80
1,7330.20,10000,7330,20
10,19716.20,10000,19716,20
1,4505.60,10000,4505,60
10,17901.20,10000,17901,20
