PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6807.60, 17000
1, 7203.80, 17000
2, 12256.60, 17000
2, 12255.00, 17000
3, 16568.80, 17000
3, 16467.20, 17000
3, 15209.40, 17000
3, 14215.40, 17000
3, 14123.60, 17000
4, 17180.00, 17000
4, 17778.80, 17000
3, 14845.00, 17000
4, 17068.00, 17000
4, 16899.00, 17000
4, 15581.20, 17000
4, 17107.80, 17000
4, 16597.00, 17000
4, 16792.60, 17000
4, 16986.40, 17000
4, 16478.00, 17000
4, 17191.60, 17000
4, 17237.00, 17000
4, 16759.20, 17000
4, 17152.80, 17000
4, 16139.40, 17000
4, 16741.60, 17000
4, 16730.60, 17000
4, 16793.00, 17000
4, 16657.20, 17000
4, 16829.80, 17000
4, 17489.20, 17000
4, 17215.00, 17000
4, 17228.00, 17000
4, 17530.20, 17000
4, 16552.00, 17000
4, 16919.20, 17000
4, 16962.00, 17000
4, 15866.40, 17000
4, 17115.00, 17000
4, 17064.40, 17000
4, 17157.40, 17000
4, 17095.40, 17000
4, 17299.40, 17000
4, 17032.20, 17000
4, 16822.40, 17000
4, 17170.60, 17000
4, 16939.60, 17000
4, 17050.40, 17000
4, 17043.20, 17000
4, 16704.60, 17000
4, 17110.80, 17000
4, 17011.20, 17000
4, 17027.20, 17000
4, 16994.40, 17000
4, 16935.80, 17000
4, 16954.40, 17000
4, 17240.20, 17000
4, 17240.60, 17000
4, 17277.40, 17000
4, 16819.60, 17000
4, 17482.40, 10000
3, 14832.80, 10000
2, 11068.40, 10000
3, 14778.60, 10000
2, 11468.60, 10000
2, 11059.20, 10000
2, 10791.20, 10000
2, 11374.60, 10000
2, 11277.20, 10000
1, 6995.00, 10000
2, 11308.00, 10000
2, 10762.80, 10000
2, 11342.20, 10000
1, 6856.60, 10000
2, 10621.00, 10000
2, 10698.00, 10000
2, 11296.60, 10000
1, 6102.20, 10000
2, 11060.20, 10000
2, 10842.80, 10000
2, 10990.20, 10000
2, 11290.20, 10000
1, 6945.60, 10000
2, 10460.40, 10000
2, 10911.60, 10000
2, 11293.20, 10000
1, 6905.00, 10000
2, 11049.80, 10000
2, 11163.80, 10000
2, 11373.40, 10000
1, 7033.60, 10000
2, 10764.60, 10000
2, 10942.40, 10000
2, 11344.60, 10000
1, 6629.40, 10000
2, 10005.80, 10000
