PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6579.80, 17000
1, 6734.40, 17000
2, 10627.40, 17000
2, 10783.20, 17000
3, 15662.00, 17000
2, 11345.80, 17000
3, 14043.80, 17000
3, 12917.60, 17000
3, 12848.80, 17000
4, 15358.00, 17000
4, 16387.40, 17000
4, 15790.40, 17000
4, 16603.20, 17000
4, 17144.60, 17000
4, 16886.20, 17000
4, 16324.80, 17000
4, 15827.60, 17000
4, 17179.80, 17000
4, 16829.60, 17000
4, 16737.40, 17000
4, 17380.00, 17000
4, 16042.00, 17000
4, 16969.80, 17000
4, 16793.40, 17000
4, 17072.40, 17000
4, 16650.00, 17000
4, 16189.00, 17000
4, 16283.60, 17000
4, 15939.80, 17000
4, 15759.40, 17000
4, 16436.00, 17000
4, 15946.80, 17000
4, 16486.20, 17000
4, 16157.40, 17000
4, 16096.00, 17000
4, 16250.20, 17000
5, 18112.60, 17000
4, 16208.20, 17000
5, 17554.00, 17000
4, 15684.40, 17000
5, 17168.40, 17000
4, 15433.40, 17000
5, 17929.40, 17000
4, 16099.00, 17000
5, 17334.80, 17000
5, 16776.40, 17000
5, 16315.40, 17000
5, 17417.60, 17000
5, 16878.20, 17000
5, 17203.60, 17000
5, 17537.20, 17000
5, 16866.40, 17000
5, 16745.80, 17000
5, 17585.00, 17000
4, 14792.80, 17000
5, 17057.60, 17000
5, 16817.20, 17000
5, 16987.60, 17000
5, 16892.00, 17000
5, 16814.00, 17000
5, 17122.20, 10000
4, 15816.20, 10000
3, 13614.00, 10000
3, 13759.40, 10000
3, 12799.00, 10000
3, 14303.60, 10000
2, 11033.40, 10000
3, 14948.00, 10000
2, 11194.40, 10000
2, 10940.80, 10000
2, 10865.60, 10000
2, 10344.60, 10000
2, 10168.00, 10000
2, 11036.40, 10000
2, 10394.00, 10000
2, 10454.00, 10000
2, 10514.60, 10000
2, 10601.20, 10000
2, 10822.40, 10000
2, 9820.20, 10000
2, 10857.20, 10000
2, 11075.20, 10000
1, 6703.00, 10000
2, 10993.20, 10000
2, 11086.40, 10000
2, 10342.00, 10000
2, 11057.40, 10000
1, 6990.60, 10000
2, 10493.60, 10000
2, 10786.40, 10000
2, 10978.20, 10000
2, 10337.80, 10000
2, 10723.60, 10000
1, 6251.20, 10000
2, 10212.80, 10000
2, 10347.80, 10000
2, 10755.80, 10000
2, 10536.00, 10000
2, 10492.40, 10000
2, 10819.00, 10000
2, 10768.00, 10000
1, 7024.20, 10000
2, 10925.40, 10000
2, 10951.80, 10000
2, 10745.20, 10000
2, 11076.40, 10000
1, 6322.40, 10000
2, 11320.00, 10000
2, 10967.80, 10000
2, 10802.60, 10000
1, 6503.80, 10000
2, 10755.00, 10000
2, 10653.60, 10000
2, 11410.60, 10000
1, 6830.60, 10000
2, 10706.80, 10000
2, 11081.20, 10000
2, 11186.40, 10000
1, 6589.20, 10000
2, 10477.40, 10000
2, 10783.00, 20000
