PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6633.80, 17000
10, 22922.80, 17000
3, 14651.40, 17000
6, 24248.60, 17000
1, 6023.00, 17000
10, 22654.00, 17000
3, 15041.60, 17000
5, 19742.00, 17000
2, 10623.40, 17000
9, 19745.40, 17000
6, 20355.00, 17000
3, 13818.80, 17000
6, 20962.80, 17000
2, 11175.40, 17000
8, 19245.40, 17000
5, 16176.80, 17000
6, 21064.60, 17000
2, 9731.80, 17000
10, 20164.20, 17000
6, 20618.00, 17000
2, 9726.20, 17000
10, 20413.20, 17000
5, 19096.40, 17000
4, 16569.60, 17000
4, 17008.00, 17000
4, 16804.00, 17000
5, 19244.40, 17000
2, 10732.20, 17000
9, 21350.20, 17000
4, 16087.80, 17000
5, 18916.00, 17000
3, 14286.20, 17000
6, 19178.20, 17000
4, 16785.00, 17000
4, 16793.00, 17000
4, 16383.40, 17000
5, 17612.00, 17000
4, 15929.20, 17000
5, 18501.80, 17000
4, 15034.60, 17000
6, 19668.40, 17000
3, 13470.40, 17000
7, 21189.20, 17000
2, 9604.00, 17000
10, 22149.40, 17000
4, 15723.60, 17000
6, 19451.40, 17000
3, 13798.20, 17000
6, 18556.60, 17000
4, 15603.00, 17000
6, 19299.40, 17000
4, 15605.20, 17000
5, 17770.80, 17000
4, 15583.20, 17000
6, 20495.60, 17000
2, 10288.60, 17000
9, 21135.00, 17000
4, 15707.40, 17000
6, 20759.80, 17000
2, 11452.00, 17000
8, 20605.80, 10000
1, 6045.40, 10000
6, 20150.60, 10000
1, 6341.40, 10000
5, 17883.80, 10000
1, 6019.60, 10000
5, 17453.20, 10000
1, 6066.20, 10000
5, 17667.20, 10000
1, 6430.80, 10000
5, 18082.60, 10000
1, 6984.20, 10000
4, 15137.00, 10000
1, 6581.40, 10000
4, 16692.00, 10000
1, 6238.40, 10000
5, 17544.20, 10000
1, 6223.40, 10000
5, 17536.80, 10000
1, 6357.60, 10000
5, 17801.60, 10000
1, 7096.60, 10000
4, 14983.80, 10000
1, 7001.20, 10000
4, 16868.20, 10000
1, 6684.60, 10000
4, 15578.00, 10000
1, 6962.80, 10000
4, 16101.80, 10000
1, 6520.80, 10000
5, 18261.60, 10000
1, 6144.80, 10000
5, 18226.00, 10000
1, 6037.00, 10000
5, 17168.80, 10000
1, 6136.00, 10000
5, 19267.40, 10000
1, 6152.40, 10000
5, 18177.00, 10000
1, 6195.40, 10000
5, 17737.80, 10000
1, 6551.00, 10000
5, 17540.00, 10000
1, 6708.60, 10000
5, 17738.60, 10000
1, 7030.80, 10000
4, 18084.00, 10000
1, 6551.60, 10000
5, 17045.60, 10000
1, 6953.40, 10000
4, 16205.40, 10000
1, 6096.40, 10000
5, 16840.40, 10000
1, 6816.60, 10000
4, 18247.00, 10000
1, 6973.80, 10000
4, 17522.80, 10000
1, 6935.20, 10000
4, 15416.60, 10000
1, 6335.40, 10000
5, 16160.80, 20000
8, 18177.80, 20000
9, 19403.40, 20000
10, 19387.60, 20000
10, 21547.40, 20000
