PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 6142.00, 17000
5, 21997.00, 17000
1, 6832.40, 17000
7, 19665.00, 17000
2, 12504.00, 17000
6, 22624.20, 17000
1, 6681.40, 17000
8, 20964.20, 17000
2, 10711.60, 17000
7, 18305.80, 17000
4, 17166.80, 17000
4, 17387.60, 17000
4, 17913.00, 17000
4, 17250.20, 17000
4, 18249.80, 17000
4, 17452.00, 17000
4, 15914.60, 17000
5, 19680.20, 17000
3, 14729.60, 17000
5, 19939.00, 17000
3, 14721.60, 17000
5, 19803.60, 17000
3, 14633.20, 17000
5, 20159.40, 17000
3, 14701.00, 17000
5, 20461.40, 17000
2, 11323.60, 17000
6, 21882.80, 17000
2, 10388.00, 17000
7, 23005.80, 17000
1, 6528.00, 17000
9, 24443.60, 17000
1, 6466.00, 17000
9, 24820.60, 17000
2, 11153.60, 17000
7, 22149.80, 17000
3, 14020.00, 17000
6, 21760.40, 17000
3, 14684.80, 17000
5, 17722.80, 17000
4, 16361.40, 17000
5, 20024.20, 17000
3, 15075.40, 17000
5, 19957.20, 17000
3, 14245.80, 17000
5, 20119.60, 17000
3, 14098.00, 17000
5, 18975.40, 17000
3, 14949.00, 17000
5, 19892.00, 17000
3, 14574.80, 17000
5, 20063.40, 17000
3, 13623.60, 17000
6, 21291.60, 17000
2, 9875.00, 17000
7, 23073.40, 17000
2, 10893.00, 17000
7, 22931.60, 17000
2, 10387.80, 17000
7, 23077.40, 17000
2, 11246.20, 10000
3, 15207.40, 10000
1, 6407.20, 10000
5, 19573.20, 10000
1, 6472.80, 10000
6, 20927.60, 10000
1, 6610.40, 10000
6, 21294.80, 10000
1, 7102.20, 10000
6, 21605.00, 10000
1, 7415.40, 10000
6, 21383.80, 10000
1, 6026.40, 10000
7, 22537.80, 10000
1, 6317.20, 10000
7, 23220.40, 10000
1, 6410.00, 10000
7, 21627.40, 10000
1, 6540.40, 10000
7, 23173.00, 10000
1, 6816.40, 10000
7, 22213.20, 10000
1, 6867.40, 10000
7, 23470.00, 10000
1, 6727.80, 10000
7, 22544.00, 10000
1, 6746.40, 10000
7, 22423.00, 10000
1, 6463.00, 10000
7, 22342.60, 10000
1, 7138.60, 10000
7, 23014.60, 10000
1, 7119.00, 10000
7, 23162.20, 10000
1, 7188.00, 10000
7, 22781.00, 10000
1, 6893.20, 10000
7, 22689.00, 10000
1, 6373.40, 10000
7, 22319.60, 10000
1, 6969.20, 10000
7, 21589.20, 10000
1, 6443.00, 10000
7, 22601.40, 10000
1, 6696.40, 10000
7, 22541.20, 10000
1, 6930.80, 10000
7, 21446.20, 10000
1, 6007.40, 10000
7, 22292.40, 10000
1, 7374.80, 10000
6, 19160.60, 10000
1, 6503.60, 10000
6, 22103.40, 10000
1, 7090.80, 10000
6, 22188.60, 10000
1, 6691.60, 10000
7, 22720.40, 10000
1, 5931.60, 10000
7, 21284.20, 10000
1, 6495.20, 20000
10, 23562.60, 20000
3, 14773.80, 20000
7, 22300.40, 20000
4, 15648.20, 20000
7, 21827.80, 20000
4, 15542.80, 20000
7, 22040.20, 20000
4, 15405.40, 20000
7, 21521.40, 20000
5, 20053.20, 20000
5, 20510.00, 20000
5, 17582.40, 20000
7, 19414.40, 20000
6, 18806.40, 20000
6, 21169.60, 20000
5, 19034.80, 20000
6, 17809.80, 20000
7, 22455.20, 20000
5, 16691.40, 20000
7, 19978.40, 20000
6, 18169.80, 20000
7, 22256.20, 20000
5, 17836.40, 20000
7, 21415.80, 20000
6, 18600.60, 20000
7, 21280.00, 20000
6, 18462.40, 20000
7, 21186.60, 20000
6, 18221.80, 20000
7, 21068.20, 20000
6, 19143.60, 20000
7, 20014.60, 20000
6, 17590.40, 20000
8, 22779.80, 20000
5, 16372.20, 20000
8, 23332.80, 20000
5, 16144.80, 20000
8, 23165.60, 20000
5, 16668.80, 20000
8, 21123.40, 20000
6, 18321.40, 20000
8, 22078.00, 20000
6, 19520.60, 20000
7, 20744.40, 20000
6, 19769.80, 20000
7, 20365.40, 20000
7, 20181.60, 20000
7, 21533.20, 20000
6, 18616.20, 20000
7, 21124.60, 20000
6, 19224.40, 20000
7, 21235.20, 20000
6, 19254.60, 20000
7, 22032.60, 20000
6, 19806.60, 20000
6, 18803.40, 20000
7, 19940.20, 20000
7, 21462.00, 20000
6, 20751.00, 20000
6, 18135.40, 5000
1, 6985.80, 5000
4, 16800.60, 5000
1, 6755.40, 5000
4, 14916.80, 5000
1, 6445.00, 5000
3, 13910.00, 5000
1, 6677.00, 5000
3, 13216.40, 5000
1, 7014.20, 5000
3, 12983.20, 5000
1, 7284.00, 5000
2, 10472.80, 5000
1, 6891.40, 5000
2, 9870.40, 5000
1, 6440.40, 5000
2, 9625.20, 5000
1, 6854.40, 5000
1, 7176.40, 5000
1, 6521.40, 5000
1, 7244.60, 5000
1, 7051.40, 5000
1, 7316.20, 5000
1, 6498.40, 5000
1, 6534.60, 5000
1, 6393.80, 5000
1, 6667.20, 5000
1, 6471.00, 5000
1, 7223.20, 5000
1, 7259.40, 5000
1, 6933.40, 5000
1, 6709.60, 5000
1, 6793.80, 5000
1, 6473.80, 5000
1, 6482.60, 5000
1, 6624.40, 5000
1, 6715.20, 5000
1, 6751.00, 5000
1, 6868.00, 5000
1, 6976.40, 5000
1, 7116.40, 5000
1, 7062.40, 5000
1, 7050.60, 5000
1, 7257.00, 5000
