PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 3626,40, 20000
10, 2787,00, 20000
10, 15615,40, 20000
10, 10971,80, 20000
10, 14556,60, 20000
10, 14892,80, 20000
10, 17063,80, 20000
10, 14880,20, 20000
10, 15607,60, 20000
10, 17382,20, 20000
10, 17867,60, 20000
10, 13041,00, 20000
10, 19302,60, 20000
10, 15844,60, 20000
10, 10765,00, 20000
10, 16570,60, 20000
10, 17255,60, 20000
10, 17790,60, 10000
1, 1039,00, 10000
10, 15613,20, 10000
1, 2175,60, 10000
10, 16385,60, 10000
1, 1439,20, 10000
10, 18220,80, 10000
1, 1227,20, 10000
10, 19287,80, 10000
1, 1168,80, 10000
10, 17370,00, 8000
1, 1328,00, 8000
10, 21561,40, 8000
1, 5456,00, 8000
10, 27346,20, 8000
1, 7238,60, 8000
10, 30590,80, 8000
1, 6853,80, 8000
10, 24666,60, 8000
1, 7350,60, 8000
10, 25976,40, 8000
1, 7116,20, 8000
10, 26381,20, 8000
1, 6525,00, 8000
10, 26393,40, 8000
1, 6726,60, 8000
10, 26495,00, 8000
1, 6904,60, 8000
10, 26626,40, 8000
1, 6135,60, 8000
10, 27295,20, 8000
1, 7470,60, 8000
10, 26997,00, 8000
1, 7005,20, 8000
10, 26875,20, 8000
1, 8003,60, 8000
1, 7277,80, 8000
10, 27015,20, 8000
1, 6984,80, 8000
10, 27258,20, 8000
1, 7174,00, 8000
10, 26584,40, 8000
1, 6699,00, 8000
10, 26019,20, 8000
1, 6473,00, 8000
10, 27205,60, 8000
1, 7417,60, 8000
10, 26681,20, 8000
1, 7494,40, 8000
10, 26769,00, 8000
1, 6801,20, 8000
10, 26325,00, 8000
1, 7324,00, 8000
10, 26642,00, 8000
1, 6845,80, 8000
10, 26154,00, 8000
1, 3941,60, 15000
10, 17619,00, 15000
1, 3657,60, 15000
10, 24966,00, 15000
1, 2581,20, 15000
10, 21793,20, 15000
1, 1545,80, 15000
10, 24812,80, 15000
1, 1770,60, 15000
10, 23328,40, 15000
1, 2554,00, 15000
10, 2674,60, 15000
10, 23511,40, 15000
1, 2042,20, 15000
10, 23279,80, 5000
1, 1325,00, 5000
10, 1285,00, 5000
10, 20085,80, 5000
1, 1705,40, 5000
10, 17642,80, 5000
1, 1943,20, 5000
10, 19122,40, 5000
1, 1489,20, 5000
10, 19655,20, 5000
