PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 2091,80, 20000
10, 10888,60, 20000
10, 14505,00, 20000
10, 12304,20, 20000
10, 21256,00, 20000
9, 15557,40, 20000
10, 17235,40, 20000
10, 17048,20, 20000
10, 11916,20, 20000
10, 16780,40, 20000
10, 26608,60, 20000
8, 23504,00, 20000
7, 22899,20, 20000
6, 21591,40, 20000
6, 16864,80, 20000
7, 21315,40, 20000
7, 24799,80, 20000
6, 17957,60, 20000
7, 22423,40, 20000
6, 22316,40, 20000
5, 17589,00, 20000
6, 20713,60, 20000
6, 19735,40, 20000
6, 20688,40, 20000
6, 18639,00, 20000
6, 21484,00, 10000
3, 13251,00, 10000
2, 10724,40, 10000
2, 10574,20, 10000
2, 11315,60, 10000
2, 11110,60, 10000
2, 10419,20, 10000
2, 10904,80, 10000
2, 10845,20, 10000
2, 10476,40, 10000
2, 11030,60, 10000
2, 10609,40, 10000
2, 10817,40, 10000
2, 11014,40, 10000
2, 10583,40, 10000
2, 10683,00, 10000
2, 10768,80, 10000
2, 10758,40, 10000
2, 10688,00, 10000
2, 11114,80, 10000
2, 11204,60, 10000
2, 10973,60, 10000
2, 11119,80, 10000
2, 10643,60, 10000
2, 10336,40, 10000
2, 10705,60, 10000
2, 10424,00, 10000
2, 10396,40, 10000
2, 10656,40, 10000
2, 11138,80, 10000
2, 11126,00, 10000
2, 10568,60, 10000
2, 10851,40, 10000
2, 10750,20, 10000
2, 11170,00, 10000
2, 10496,00, 10000
2, 11058,80, 10000
2, 11124,80, 10000
2, 10588,40, 10000
2, 10781,40, 10000
2, 11309,20, 10000
2, 10835,20, 10000
2, 9884,00, 10000
2, 10314,40, 10000
2, 10735,60, 10000
2, 10725,00, 10000
2, 10747,20, 10000
2, 11280,80, 10000
2, 10814,60, 10000
2, 10322,00, 10000
2, 10450,80, 10000
2, 10971,60, 10000
2, 10436,40, 10000
2, 11057,20, 10000
2, 10152,00, 10000
2, 10734,80, 10000
2, 11379,60, 10000
2, 10634,80, 10000
2, 11065,60, 10000
2, 10924,20, 10000
2, 10991,60, 8000
1, 6524,80, 8000
1, 6775,40, 8000
1, 6876,60, 8000
1, 6872,80, 8000
1, 6614,60, 8000
1, 6756,80, 8000
1, 7163,40, 8000
1, 6690,00, 8000
1, 6887,60, 8000
1, 6765,60, 8000
1, 6815,40, 8000
1, 6724,80, 8000
1, 7120,20, 8000
1, 6667,40, 8000
1, 6521,00, 8000
1, 6803,00, 8000
1, 6955,20, 8000
1, 6005,00, 8000
1, 6115,60, 8000
1, 6047,60, 8000
1, 6193,80, 8000
1, 6687,60, 8000
1, 6392,00, 8000
1, 7141,00, 8000
1, 7035,80, 8000
1, 6103,80, 8000
1, 7067,00, 8000
1, 6756,20, 8000
1, 6361,00, 8000
1, 6434,40, 8000
1, 6372,40, 8000
1, 6947,00, 8000
1, 6965,00, 8000
1, 6249,40, 8000
1, 6696,60, 8000
1, 5845,40, 8000
1, 7148,80, 8000
1, 6680,20, 8000
1, 6791,20, 8000
1, 6623,60, 8000
1, 6393,00, 8000
1, 6409,60, 8000
1, 6798,20, 8000
1, 6748,60, 8000
1, 6326,00, 8000
1, 6525,20, 8000
1, 6722,80, 8000
1, 6715,60, 8000
1, 6896,80, 8000
1, 6746,80, 8000
1, 6747,00, 8000
1, 6070,20, 8000
1, 6807,00, 8000
1, 6601,40, 8000
1, 6505,80, 8000
1, 6614,20, 8000
1, 6660,00, 8000
1, 6901,60, 8000
1, 7233,80, 8000
1, 6884,20, 15000
2, 11054,20, 15000
3, 13826,40, 15000
3, 13744,40, 15000
3, 13528,00, 15000
3, 13915,60, 15000
3, 13142,00, 15000
3, 13819,80, 15000
3, 13993,60, 15000
3, 13412,80, 15000
3, 13552,80, 15000
3, 13516,80, 15000
3, 13941,00, 15000
3, 13502,00, 15000
3, 13283,60, 15000
3, 13818,60, 15000
3, 13481,40, 15000
3, 13483,20, 15000
3, 13225,60, 15000
3, 14000,60, 15000
3, 13921,40, 15000
3, 13291,20, 15000
3, 13554,00, 15000
3, 13307,20, 15000
3, 13569,40, 15000
3, 13879,80, 15000
3, 13405,00, 15000
3, 13593,80, 15000
3, 13249,00, 15000
3, 13855,20, 15000
3, 13621,00, 15000
3, 13430,40, 15000
3, 13666,00, 15000
3, 13427,40, 15000
3, 13689,20, 15000
3, 13433,20, 15000
3, 13974,80, 15000
3, 13876,80, 15000
3, 13293,00, 15000
3, 13577,40, 15000
3, 13417,00, 15000
3, 13369,00, 15000
3, 13326,00, 15000
3, 13501,60, 15000
3, 13757,40, 15000
3, 13552,20, 15000
3, 13447,00, 15000
3, 13746,20, 15000
3, 13477,80, 15000
3, 13979,00, 15000
3, 13531,40, 15000
3, 13691,20, 15000
3, 13659,80, 15000
3, 13378,20, 15000
3, 13541,60, 15000
3, 13577,60, 15000
3, 13623,00, 15000
3, 13120,80, 15000
3, 13157,20, 15000
3, 13599,60, 15000
3, 13150,20, 5000
1, 6572,40, 5000
1, 6638,80, 5000
1, 6858,80, 5000
1, 6831,20, 5000
1, 6928,60, 5000
1, 7407,20, 5000
1, 6901,00, 5000
1, 6326,80, 5000
1, 6218,40, 5000
1, 7178,20, 5000
1, 6780,40, 5000
1, 6560,80, 5000
1, 6438,40, 5000
1, 6625,40, 5000
1, 7014,40, 5000
1, 7184,80, 5000
1, 7186,80, 5000
1, 6490,20, 5000
1, 7260,80, 5000
1, 6584,60, 5000
1, 7045,20, 5000
1, 7221,20, 5000
1, 6922,00, 5000
1, 6723,20, 5000
1, 7034,20, 5000
1, 7143,20, 5000
1, 6721,40, 5000
1, 6623,00, 5000
1, 6563,40, 5000
1, 6813,80, 5000
1, 6553,40, 5000
1, 7095,00, 5000
1, 6552,60, 5000
1, 6164,60, 5000
1, 6605,20, 5000
1, 6912,00, 5000
1, 6494,40, 5000
1, 6999,80, 5000
1, 6958,60, 5000
1, 6667,40, 5000
1, 6859,80, 5000
1, 6773,80, 5000
1, 6175,60, 5000
1, 6674,20, 5000
1, 7412,20, 5000
1, 7049,00, 5000
1, 7204,20, 5000
1, 6733,20, 5000
1, 7158,40, 5000
1, 6821,00, 5000
1, 6402,80, 5000
1, 6782,20, 5000
1, 6658,00, 5000
1, 6667,40, 5000
1, 6855,60, 5000
1, 6819,00, 5000
1, 6974,60, 5000
1, 6841,60, 5000
1, 6795,00, 5000
