PREFETCH_COUNT,ARRIVAL_RATE,DESIRED_ARRIVAL_RATE
1, 1587,20, 20000
10, 12404,60, 20000
10, 13097,00, 20000
10, 17916,60, 20000
10, 16793,60, 20000
10, 16240,80, 20000
10, 18737,60, 20000
10, 16628,20, 20000
10, 15974,20, 20000
10, 9831,60, 20000
10, 19591,40, 20000
10, 18096,60, 20000
10, 18473,20, 20000
10, 27634,20, 20000
1, 7310,00, 20000
10, 27147,00, 20000
1, 7464,20, 20000
10, 23985,60, 10000
1, 7216,20, 10000
10, 24528,20, 10000
1, 6552,60, 10000
10, 24974,20, 10000
1, 6975,40, 10000
10, 24392,60, 10000
1, 7919,20, 10000
10, 28364,80, 10000
1, 7043,80, 10000
10, 24070,00, 10000
1, 7512,60, 10000
10, 24394,20, 10000
1, 7462,80, 10000
10, 24496,00, 10000
1, 7151,80, 10000
10, 21509,00, 10000
1, 7699,80, 10000
10, 24229,40, 10000
1, 7119,60, 10000
10, 24103,40, 10000
1, 6884,60, 10000
10, 24565,00, 10000
1, 7427,40, 10000
10, 24138,20, 10000
1, 6039,40, 10000
10, 29451,80, 10000
1, 7221,40, 10000
10, 22757,20, 10000
1, 7462,00, 10000
10, 24650,80, 10000
1, 7162,40, 10000
10, 23425,40, 10000
1, 6378,60, 10000
10, 24790,60, 10000
1, 6511,80, 10000
10, 25074,60, 10000
1, 7372,20, 10000
10, 24533,60, 10000
1, 6549,00, 10000
10, 18823,60, 10000
1, 6637,00, 10000
10, 19995,80, 10000
1, 4439,60, 10000
10, 24637,80, 10000
1, 7330,20, 10000
10, 19716,20, 10000
1, 4505,60, 10000
10, 17901,20, 10000
1, 7346,40, 10000
10, 20001,40, 10000
1, 7158,80, 10000
10, 20891,40, 10000
1, 4119,40, 10000
10, 23861,00, 10000
1, 7319,00, 10000
10, 19680,00, 10000
1, 4504,80, 10000
10, 11782,00, 8000
1, 7753,40, 8000
10, 18212,40, 8000
1, 6741,60, 8000
10, 19442,80, 8000
1, 4586,40, 8000
10, 12999,20, 8000
1, 6335,80, 8000
10, 26465,80, 8000
1, 7672,00, 8000
10, 26924,60, 8000
1, 6520,80, 8000
10, 24458,40, 8000
1, 6661,00, 8000
10, 14458,00, 8000
1, 3803,40, 8000
10, 22635,60, 8000
1, 5774,20, 8000
10, 30048,80, 8000
1, 7308,00, 8000
10, 25648,60, 8000
1, 7506,60, 8000
10, 22598,00, 8000
1, 6155,00, 8000
10, 26053,40, 8000
1, 6934,00, 8000
10, 24082,20, 8000
1, 7418,00, 8000
10, 24362,80, 8000
1, 7539,80, 8000
10, 24159,00, 8000
1, 6506,60, 8000
10, 24501,60, 8000
1, 5426,20, 8000
10, 25536,20, 8000
1, 6104,60, 8000
10, 26774,20, 8000
1, 7214,80, 8000
10, 26188,80, 8000
1, 6426,60, 8000
10, 26534,40, 8000
1, 6799,20, 8000
10, 26374,00, 8000
1, 6592,40, 8000
10, 26583,80, 8000
1, 6673,40, 8000
10, 26696,20, 8000
1, 5467,00, 8000
10, 27157,20, 8000
1, 6195,20, 8000
10, 29079,80, 8000
1, 7391,60, 15000
10, 26958,80, 15000
1, 6638,00, 15000
10, 26838,80, 15000
1, 6305,40, 15000
10, 25014,00, 15000
1, 6156,60, 15000
10, 28191,00, 15000
1, 7166,40, 15000
10, 28693,20, 15000
1, 7124,40, 15000
10, 26788,00, 15000
1, 7523,40, 15000
10, 26421,80, 15000
1, 5622,60, 15000
10, 27024,20, 15000
1, 6758,60, 15000
10, 27026,60, 15000
1, 6537,00, 15000
10, 25174,60, 15000
1, 7270,40, 15000
10, 26796,40, 15000
1, 6940,00, 15000
10, 26674,80, 15000
1, 7399,80, 15000
10, 22858,60, 15000
1, 7205,00, 15000
10, 26384,60, 15000
1, 7099,60, 15000
10, 26897,20, 15000
1, 7475,60, 15000
10, 26711,60, 15000
1, 6512,80, 15000
10, 27036,20, 15000
1, 6494,80, 15000
10, 26910,60, 15000
1, 6990,60, 15000
10, 26742,60, 15000
1, 7426,20, 15000
10, 26959,20, 15000
1, 6640,60, 15000
10, 26629,60, 15000
1, 6804,80, 15000
10, 27086,40, 15000
1, 6963,80, 15000
10, 27093,60, 15000
1, 7290,00, 15000
10, 26643,40, 15000
1, 6153,80, 15000
10, 17521,80, 15000
1, 6057,40, 15000
10, 26435,60, 15000
1, 7053,20, 15000
10, 27215,20, 15000
1, 5732,80, 15000
10, 28261,40, 5000
1, 7830,40, 5000
1, 8034,40, 5000
1, 7555,60, 5000
1, 7294,80, 5000
1, 6838,80, 5000
1, 7305,40, 5000
1, 7566,60, 5000
1, 6528,40, 5000
1, 6778,00, 5000
1, 7057,00, 5000
1, 7172,40, 5000
1, 7736,20, 5000
1, 7315,00, 5000
1, 7060,40, 5000
1, 7426,60, 5000
1, 6728,60, 5000
1, 7590,00, 5000
1, 6788,60, 5000
1, 6959,40, 5000
1, 7047,40, 5000
1, 7219,80, 5000
1, 6546,80, 5000
1, 6791,00, 5000
1, 7144,60, 5000
1, 6563,80, 5000
1, 7262,40, 5000
1, 5956,40, 5000
1, 3197,40, 5000
10, 15275,00, 5000
1, 1565,60, 5000
10, 6809,40, 5000
1, 4929,40, 5000
10, 30884,00, 5000
1, 4099,00, 5000
10, 30833,00, 5000
1, 8035,80, 5000
1, 7842,00, 5000
1, 7560,20, 5000
